Item,Indicator,Value,Signal
,SMA (10),742.44,Buy
,EMA (10),745.65,Buy
,SMA (20),728.57,Buy
,EMA (20),736.52,Buy
,SMA (50),727.42,Buy
,EMA (50),728.76,Buy
,SMA (100),724.98,Buy
,EMA (100),729.95,Buy
,SMA (200),749.17,Buy
,EMA (200),729.11,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),59.16,Neutral
,"MACD (12,26,9)",9.16,Buy
,"Stochastic (14,3,3)",72.62,Neutral
,ADX (14),21.52,Neutral
,Williams %R (14),-38.69,Neutral
,ATR (14),20.9,Neutral
,ROC (12),6.05,Buy
,Stoch RSI (14),60.27,Neutral
,"UO (7,14,28)",62.89,Neutral
