Item,Date,Document
,9 Mar - Ind-Ra affirmed IND AA/Stable for Jaigad PowerTransco bank facilities on 9 March 2026.,[Assignment Of Credit Rating - Jaigad Powertransco Limited 9 Mar - Ind-Ra affirmed IND AA/Stable for Jaigad PowerTransco bank facilities on 9 March 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/d87c6ddd-70fe-46f2-8a95-b71038ae7833.pdf)
,9 Apr - JSW Energy exercises call option to acquire remaining 26% of JSW Mahanadi Power Company on 9 April 2026.,"[Intimation Under Regulation 30 Of The SEBI (LODR) Regulations, 2015 9 Apr - JSW Energy exercises call option to acquire remaining 26% of JSW Mahanadi Power Company on 9 April 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/594bbbd1-ee87-4bb6-a661-a6ecefa91c60.pdf)"
,"8h - JSW Mahanadi Power faces ₹1,447.34 crore water charge demand; company contests it in Chhattisgarh High Court.","[Material Litigation Under Regulation 30(4) Of The Securities Exchange Board Of India (LODR) Regulations, 2015 ('Listing Regulations') 8h - JSW Mahanadi Power faces ₹1,447.34 crore water charge demand; company contests it in Chhattisgarh High Court.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/63619e8a-4186-4d0a-8df8-dba841e5a18b.pdf)"
,8h - ICRA reaffirmed A-/Stable for Mytrah Vayu (Tungabhadra) Pvt Ltd's long-term bank facilities on 24 Mar 2026.,[Assignment Of Credit Rating - Mytrah Vayu (Tungabhadra) Private Limited 8h - ICRA reaffirmed A-/Stable for Mytrah Vayu (Tungabhadra) Pvt Ltd's long-term bank facilities on 24 Mar 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/0cf7c458-af8e-4590-ba69-5bd1e3c22591.pdf)
,6h - ICRA assigned A/Stable rating to JSW Green Energy Eight Limited’s long-term bank facilities on 4 May 2026.,[Assignment Of Credit Rating - JSW Green Energy Eight Limited 6h - ICRA assigned A/Stable rating to JSW Green Energy Eight Limited’s long-term bank facilities on 4 May 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/dba6540f-775a-4dc8-beb5-569955543507.pdf)
,6 May - Subsidiaries filed writ petitions challenging Himachal Pradesh land revenue levy notices on hydro projects.,[Material Litigation 6 May - Subsidiaries filed writ petitions challenging Himachal Pradesh land revenue levy notices on hydro projects.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/0d1a3436-605b-40fd-8571-f6236e52dcf4.pdf)
,6 May - Ind-Ra affirmed IND A/Stable rating for JSW Renew Energy Twenty Limited’s bank loan facilities.,[Affirmation Of Credit Rating - JSW Renew Energy Twenty Limited 6 May - Ind-Ra affirmed IND A/Stable rating for JSW Renew Energy Twenty Limited’s bank loan facilities.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/d1357144-475d-4750-b4d2-6697e4b3b32f.pdf)
,5 May - Supreme Court orders MSEDCL to pay Rs 250 crore interim and APTEL rehear stay plea.,"[Material Litigation Under Regulation 30(4) Of The Securities Exchange Board Of India (LODR) Regulations, 2015 ('Listing Regulations') - Update 5 May - Supreme Court orders MSEDCL to pay Rs 250 crore interim and APTEL rehear stay plea.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/dc3fef49-390c-4cb2-8c1e-cdfa6b736888.pdf)"
,"5 May - On Monday, 11th May 2026, to consider and approve, inter-alia, the audited Standalone and Consolidated Financial Results of the Company for the quarter and year …","[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation 5 May - On Monday, 11th May 2026, to consider and approve, inter-alia, the audited Standalone and Consolidated Financial Results of the Company for the quarter and year …](https://www.bseindia.com/xml-data/corpfiling/AttachLive/56952a2c-25d3-450c-93c6-048d081b56ad.pdf)"
