Item,Indicator,Value,Signal
,SMA (10),530.57,Sell
,EMA (10),532.61,Sell
,SMA (20),537.71,Sell
,EMA (20),537.74,Sell
,SMA (50),548.1,Sell
,EMA (50),545.67,Sell
,SMA (100),555.67,Sell
,EMA (100),543.82,Sell
,SMA (200),520.97,Buy
,EMA (200),533.06,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),40.48,Neutral
,"MACD (12,26,9)",-6.56,Sell
,"Stochastic (14,3,3)",45.31,Neutral
,ADX (14),13.61,Neutral
,Williams %R (14),-64.42,Neutral
,ATR (14),11.93,Neutral
,ROC (12),-3.14,Sell
,Stoch RSI (14),66.8,Neutral
,"UO (7,14,28)",50.51,Neutral
