Item,Date,Document
,"9h - Tejaswi Nori moves to head Domino’s DITA, ceases as Senior Management effective April 1, 2026.","[Announcement under Regulation 30 (LODR)-Change in Management 9h - Tejaswi Nori moves to head Domino’s DITA, ceases as Senior Management effective April 1, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/53d7e8dd-08eb-4931-8412-aedde2b6967b.pdf)"
,9h - Submission of copies of newspaper advertisement regarding another special window that has been opened for re-lodgement of transfer deeds of physical shares,[Announcement under Regulation 30 (LODR)-Newspaper Publication 9h - Submission of copies of newspaper advertisement regarding another special window that has been opened for re-lodgement of transfer deeds of physical shares](https://www.bseindia.com/xml-data/corpfiling/AttachLive/86a173e0-ff6f-452c-ab31-5b9682f164d8.pdf)
,8 Apr - Jubilant FoodWorks clarifies LPG supply constraints were limited; operations have returned to normal levels.,[Rumour verification - Regulation 30(11) 8 Apr - Jubilant FoodWorks clarifies LPG supply constraints were limited; operations have returned to normal levels.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/1714358a-ec37-4185-ae5d-246d66316e56.pdf)
,7 May - Conference Call invite for Analysts and Investors to discuss Q4FY26 and FY26 results.,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation 7 May - Conference Call invite for Analysts and Investors to discuss Q4FY26 and FY26 results.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/0da7bdb4-7af1-41ef-8a20-bf97ab5dda68.pdf)
,"6 Apr - Q4FY26 revenue rose 19.1%; FY26 revenue rose 17.2%, with 69 net stores added.","[Q4FY26 And FY26 Business Update 6 Apr - Q4FY26 revenue rose 19.1%; FY26 revenue rose 17.2%, with 69 net stores added.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/04c384d2-4549-432d-a83e-4b62ed7d1a1f.pdf)"
,"30 Mar - Non-renewal of Dunkin' development rights; term ends Dec 31, 2026; Dunkin' revenue FY24-25 INR 372.37m.","[Board Meeting Outcome for Non-Renewal Of Multiple Unit Development Franchise Agreement (MUDFA) For Dunkin'' Brand 30 Mar - Non-renewal of Dunkin' development rights; term ends Dec 31, 2026; Dunkin' revenue FY24-25 INR 372.37m.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/762fef2b-c6f2-4930-bb9a-a792ed811cc9.pdf)"
,"29 Apr - Submission of copies of Newspaper Advertisement relating to Notice to Shareholders- Second 100 days Campaign -""Saksham Niveshak''''","[Announcement under Regulation 30 (LODR)-Newspaper Publication 29 Apr - Submission of copies of Newspaper Advertisement relating to Notice to Shareholders- Second 100 days Campaign -""Saksham Niveshak''''](https://www.bseindia.com/xml-data/corpfiling/AttachHis/0229d761-5b27-4119-a3aa-aee01e3e6454.pdf)"
,"29 Apr - Submission of copies of Newspaper Advertisement relating to Notice to Shareholders- Second 100 days Campaign -""Saksham Niveshak''''","[Announcement under Regulation 30 (LODR)-Newspaper Publication 29 Apr - Submission of copies of Newspaper Advertisement relating to Notice to Shareholders- Second 100 days Campaign -""Saksham Niveshak''''](https://www.bseindia.com/xml-data/corpfiling/AttachLive/0229d761-5b27-4119-a3aa-aee01e3e6454.pdf)"
,"28 Mar - Due to Middle East tensions, LPG supply constrained to some stores; impact limited; switching to electricity/PNG.","[Disclosure Under Regulation 30 Of SEBI (LODR) Regulations, 2015 ('Listing Regulations') - Business Update 28 Mar - Due to Middle East tensions, LPG supply constrained to some stores; impact limited; switching to electricity/PNG.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/4060d10f-7740-4931-9f95-e329c4f7d7f2.pdf)"
,"28 Apr - Board meets May 20, 2026 to approve FY26 results and consider dividend; trading window closed till May 22.","[Board Meeting Intimation for Approval Of Financial Results For The Quarter And Financial Year Ended On March 31, 2026 And Recommendation Of Dividend, If Any. 28 Apr - Board meets May 20, 2026 to approve FY26 results and consider dividend; trading window closed till May 22.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/a26dd8ec-2a27-4bf7-9067-65b77fca047e.pdf)"
,Date,Document
,---,---
,2026-09-10,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7d74cf45-a424-4664-a6bf-dfd4d6534d0a.pdf)
,2026-08-27,[Shareholder Meeting / Postal Ballot-Outcome of AGM](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=de3e004a-3cc5-4903-8ba8-57b5ece823f4.pdf)
