Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1020,966,1074,1024,1045,1057,1051,1038,1121,1051,1179,1300
Expenses,902,871,983,915,921,918,905,896,985,924,1016,1101
Operating Profit,118,96,91,110,124,138,147,142,135,126,163,199
OPM %,12,10,8,11,12,13,14,14,12,12,14,15
Other Income,9,9,10,10,10,9,8,11,11,-4,9,10
Interest,13,15,14,14,15,12,14,13,12,12,12,17
Depreciation,34,34,36,39,40,40,39,41,41,45,48,51
Profit before tax,80,55,51,66,80,96,102,100,93,65,112,141
Tax %,28,30,43,26,26,27,27,25,25,28,23,25
Net Profit,57,39,29,49,59,69,74,75,69,47,86,106
EPS in Rs,3.61,2.42,1.84,3.06,3.7,4.36,4.65,4.71,4.36,2.94,5.43,6.64
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,,
---,---,---,---,---,---,---,---,---,,,,
Sales,0,684,4949,4773,4136,4178,4388,4651,,,,
Expenses,0,567,4108,4224,3708,3658,3820,4027,,,,
Operating Profit,0,117,841,549,427,519,568,624,,,,
OPM %,—,17,17,11,10,12,13,13,,,,
Other Income,0,-10,22,32,29,38,27,27,,,,
Interest,0,7,31,22,53,56,49,54,,,,
Depreciation,0,22,123,122,136,158,175,186,,,,
Profit before tax,0,77,709,437,268,344,370,411,,,,
Tax %,0,30,33,30,32,27,25,—,,,,
Net Profit,0,54,477,308,183,251,278,309,,,,
EPS in Rs,-3.4,3.41,29.93,19.31,11.48,15.77,17.45,19.37,,,,
Dividend Payout %,0,10,17,26,43,31,28,—,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Equity Capital,0.05,16,16,16,16,16,16,,,,,
Reserves,0,1907,2417,2650,2722,2911,3110,,,,,
Borrowings,0,556,238,407,740,764,792,,,,,
Other Liabilities,0,888,1111,1176,1241,1324,1551,,,,,
Total Liabilities,0,3366,3782,4249,4719,5015,5470,,,,,
Fixed Assets,0,1805,1798,1846,2539,2581,3183,,,,,
CWIP,0,65,174,525,331,525,154,,,,,
Investments,0,50,6,8,15,37,33,,,,,
Other Assets,0,1446,1804,1870,1834,1872,2099,,,,,
Total Assets,0,3366,3782,4249,4719,5015,5470,,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Cash from Operating Activity,0,112,453,462,430,508,524,,,,,
Cash from Investing Activity,0,33,-71,-469,-568,-389,-250,,,,,
Cash from Financing Activity,0,-72,-418,42,144,-129,-155,,,,,
Net Cash Flow,0,73,-36,35,6,-9,119,,,,,
Free Cash Flow,0,85,225,-16,-136,156,235,,,,,
CFO/OP,0,106,69,98,111,113,111,,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Debtor Days,—,251,43,39,50,53,65,,,,,
Inventory Days,—,601,117,146,160,163,140,,,,,
Days Payable,—,685,103,113,131,141,150,,,,,
Cash Conversion Cycle,—,167,57,72,80,75,55,,,,,
Working Capital Days,—,220,49,42,37,29,22,,,,,
ROCE %,—,8,29,16,10,11,11,,,,,
