Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1122,1152,1208,1096,1179,1156,1222,1103,1186,1168,1373,1328
Expenses,942,973,1036,927,1023,1003,1083,916,973,968,1110,1068
Operating Profit,179,178,172,169,156,152,138,187,213,200,263,260
OPM %,16,16,14,15,13,13,11,17,18,17,19,20
Other Income,8,11,15,5,10,4,-11,12,15,-28,9,18
Interest,4,5,5,3,5,7,6,5,6,6,6,5
Depreciation,36,39,42,42,41,40,43,44,42,42,42,42
Profit before tax,147,146,140,128,121,110,78,150,181,125,224,231
Tax %,25,26,25,28,29,28,44,26,26,31,30,26
Net Profit,111,108,104,92,86,79,43,110,134,86,157,171
EPS in Rs,6.78,6.54,6.43,5.64,5.29,4.88,2.67,6.84,8.35,5.51,9.78,10.64
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,2711,2956,2808,2781,3705,4382,4474,4635,4830,5056,,
Expenses,2253,2501,2391,2266,3093,3789,3768,4000,3962,4118,,
Operating Profit,457,455,417,515,612,593,706,635,869,938,,
OPM %,17,15,15,19,17,14,16,14,18,19,,
Other Income,11,8,23,15,26,25,35,-14,3,14,,
Interest,24,16,20,11,13,22,17,20,23,22,,
Depreciation,89,89,108,107,115,133,148,165,169,168,,
Profit before tax,355,358,312,413,510,462,576,436,680,761,,
Tax %,36,36,19,25,25,25,25,31,28,—,,
Net Profit,229,229,254,309,383,346,432,300,487,548,,
EPS in Rs,14.78,14.25,16.06,19.36,23.68,21.64,26.5,18.48,30.48,34.28,,
Dividend Payout %,20,21,19,52,46,42,45,49,46,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,16,16,16,16,16,16,16,16,16,16,,
Reserves,1159,1335,1559,1698,1853,2106,2311,2601,2728,3050,,
Borrowings,213,170,120,166,126,165,250,239,274,229,,
Other Liabilities,652,619,677,557,530,699,751,684,737,733,,
Total Liabilities,2040,2140,2372,2437,2525,2986,3328,3539,3755,4027,,
Fixed Assets,1177,1145,1078,1195,1192,1150,1447,1638,1717,1675,,
CWIP,8,18,93,27,15,263,82,68,109,119,,
Investments,0,0,0,10,5,0,2,18,34,39,,
Other Assets,854,977,1200,1206,1313,1573,1798,1815,1895,2195,,
Total Assets,2040,2140,2372,2437,2525,2986,3328,3539,3755,4027,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,338,238,317,224,509,426,296,602,501,664,,
Cash from Investing Activity,-140,-136,-261,-90,-296,-298,-182,-298,-372,-336,,
Cash from Financing Activity,-168,-72,-114,-140,-205,-120,-135,-216,-209,-290,,
Net Cash Flow,30,30,-58,-6,9,7,-22,88,-79,37,,
Free Cash Flow,195,100,203,103,408,162,87,323,305,563,,
CFO/OP,93,80,99,78,118,91,71,105,97,96,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,49,61,59,52,57,51,50,51,45,47,,
Inventory Days,168,150,147,189,119,122,127,111,126,105,,
Days Payable,121,102,112,88,66,78,70,61,69,61,,
Cash Conversion Cycle,96,108,94,152,110,94,107,101,102,92,,
Working Capital Days,31,43,41,57,51,36,45,47,42,42,,
ROCE %,31,25,23,18,21,24,20,21,17,23,,
