Item,Indicator,Value,Signal
,SMA (10),3578.45,Sell
,EMA (10),3605.39,Sell
,SMA (20),3718.9,Sell
,EMA (20),3652.85,Sell
,SMA (50),3590.09,Sell
,EMA (50),3615.22,Sell
,SMA (100),3546.03,Sell
,EMA (100),3651.08,Sell
,SMA (200),3758.77,Sell
,EMA (200),3939.56,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),41.35,Neutral
,"MACD (12,26,9)",-31.3,Sell
,"Stochastic (14,3,3)",14.17,Buy
,ADX (14),20.85,Neutral
,Williams %R (14),-89.54,Buy
,ATR (14),137.98,High Volatility
,ROC (12),-13.07,Sell
,Stoch RSI (14),6.38,Buy
,"UO (7,14,28)",36.99,Neutral
