Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,4499,5007,6165,4512,5113,5349,6872,5023,6092,6001,6390,5024
Expenses,4225,4699,5777,4242,4793,4975,6333,4673,5661,5571,5942,4733
Operating Profit,274,308,388,270,320,374,539,350,430,430,448,291
OPM %,6,6,6,6,6,7,8,7,7,7,7,6
Other Income,16,26,8,43,7,1,20,5,5,-49,30,14
Interest,178,164,154,155,168,170,170,151,171,171,170,164
Depreciation,47,49,48,47,45,45,47,46,51,50,51,51
Profit before tax,66,121,193,112,113,160,342,159,213,160,258,90
Tax %,15,20,21,22,25,19,22,21,25,20,25,19
Net Profit,56,97,152,88,85,130,268,125,161,127,193,73
EPS in Rs,2.17,3.77,5.9,3.41,3.21,4.87,10.08,4.68,6.04,4.79,7.24,2.73
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,10053,11001,11965,13114,13742,17282,19914,21847,23506,23506,,
Expenses,8957,9764,10635,11874,12742,16362,18556,20164,21636,21907,,
Operating Profit,1095,1237,1330,1240,1001,920,1359,1683,1869,1599,,
OPM %,11,11,11,9,7,5,7,8,8,7,,
Other Income,22,31,11,29,-31,59,50,68,-11,0,,
Interest,318,398,403,360,413,656,797,839,872,677,,
Depreciation,110,117,147,153,158,161,185,184,197,202,,
Profit before tax,689,753,790,756,399,161,426,727,789,721,,
Tax %,33,34,28,27,17,-9,19,22,23,—,,
Net Profit,460,496,566,553,332,176,347,571,606,554,,
EPS in Rs,17.91,19.28,22,21.5,12.92,6.85,13.49,21.44,22.75,20.8,,
Dividend Payout %,13,14,15,19,31,44,30,26,24,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,51,51,51,51,51,51,51,51,53,53,,
Reserves,1535,1946,2384,2746,3308,3569,3720,4044,5294,6106,,
Borrowings,2106,1766,1839,2519,2066,3065,3383,3961,3957,5378,,
Other Liabilities,5023,6749,7389,7538,8566,9613,10117,10975,12859,13596,,
Total Liabilities,8715,10512,11663,12855,13992,16298,17271,19031,22164,25133,,
Fixed Assets,1149,1112,1182,1352,1398,1538,1583,1628,1647,1773,,
CWIP,5,78,7,84,18,2,11,14,39,114,,
Investments,130,39,13,22,1,13,0,0,0,0,,
Other Assets,7431,9283,10460,11396,12575,14745,15677,17389,20479,23246,,
Total Assets,8715,10512,11663,12855,13992,16298,17271,19031,22164,25133,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,1662,660,199,87,840,-284,614,311,419,-414,,
Cash from Investing Activity,-182,-4,-67,-113,-134,-204,-139,-243,-46,-231,,
Cash from Financing Activity,-1379,-638,-150,3,-659,496,-401,-145,-32,511,,
Net Cash Flow,101,17,-18,-23,47,8,74,-76,341,-134,,
Free Cash Flow,1595,524,90,-115,726,-425,451,78,270,-691,,
CFO/OP,194,81,40,33,85,0,90,41,16,-6,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,179,183,162,166,150,136,90,76,84,101,,
Inventory Days,35,45,43,51,54,65,59,53,41,50,,
Days Payable,278,331,324,327,395,420,433,401,380,351,,
Cash Conversion Cycle,-64,-103,-119,-111,-191,-219,-284,-272,-255,-201,,
Working Capital Days,21,33,43,34,37,35,27,25,42,57,,
ROCE %,20,27,29,25,21,14,12,16,18,17,,
