Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,209,219,228,238,280,290,283,274,309,371,347,357
Expenses,116,121,125,138,154,159,160,160,174,219,219,235
Operating Profit,93,98,104,100,127,131,122,114,136,152,128,122
OPM %,45,45,45,42,45,45,43,41,44,41,37,34
Other Income,6,6,7,8,11,9,10,10,11,-2,11,10
Interest,3,1,1,1,1,1,1,1,1,1,1,1
Depreciation,13,13,15,15,17,16,17,18,18,23,27,27
Profit before tax,84,89,94,92,119,122,114,105,127,125,111,103
Tax %,27,25,21,26,25,26,26,26,26,27,27,27
Net Profit,61,67,74,68,89,90,85,77,93,92,81,75
EPS in Rs,3.61,3.92,4.36,3.97,5.21,5.25,4.94,4.49,5.42,5.33,4.7,4.35
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,
---,---,---,---,---,---,---,---,---,---,,,
Sales,162,450,481,640,720,838,1091,1301,1384,,,
Expenses,97,291,269,352,422,473,612,772,847,,,
Operating Profit,66,159,212,288,298,364,479,530,537,,,
OPM %,40,35,44,45,41,43,44,41,39,,,
Other Income,2,5,5,6,17,25,38,30,30,,,
Interest,20,53,52,53,11,9,5,5,5,,,
Depreciation,34,92,98,37,47,53,64,86,96,,,
Profit before tax,14,19,68,204,258,327,448,468,466,,,
Tax %,35,76,196,27,24,25,26,27,—,,,
Net Profit,9,5,-65,149,196,246,333,344,342,,,
EPS in Rs,0.54,0.3,-4.28,8.87,11.57,14.39,19.33,19.92,19.8,,,
Dividend Payout %,0,0,0,0,0,40,39,60,—,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Equity Capital,166,151,151,168,169,171,172,173,,,,
Reserves,353,259,196,477,701,970,1236,1501,,,,
Borrowings,435,413,383,160,160,49,47,55,,,,
Other Liabilities,68,46,194,222,220,229,296,1041,,,,
Total Liabilities,1022,868,923,1026,1250,1418,1750,2770,,,,
Fixed Assets,732,691,630,669,691,764,803,1773,,,,
CWIP,0,0,3,35,40,37,29,65,,,,
Investments,112,14,95,93,229,150,462,239,,,,
Other Assets,178,163,196,230,291,467,456,691,,,,
Total Assets,1022,868,923,1026,1250,1418,1750,2770,,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Cash from Operating Activity,63,101,205,253,223,289,399,370,,,,
Cash from Investing Activity,-816,94,-104,-115,-204,-178,-329,-199,,,,
Cash from Financing Activity,775,-206,-89,-115,7,-127,-95,-134,,,,
Net Cash Flow,23,-11,11,22,27,-15,-25,36,,,,
Free Cash Flow,58,94,175,185,154,204,313,259,,,,
CFO/OP,124,83,98,105,94,97,103,90,,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Debtor Days,198,72,84,64,64,66,64,76,,,,
Cash Conversion Cycle,198,72,84,64,64,66,64,76,,,,
Working Capital Days,-13,16,5,22,-34,34,31,49,,,,
ROCE %,—,8,15,34,29,30,33,29,,,,
