Item,Date,Document
,2026-09-10,[Announcement under Regulation 30 (LODR)-Memorandum of Understanding /Agreements](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4b4b6457-6429-4026-9378-013c84a6d3d3.pdf)
,2026-09-07,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c8e56a41-eeb0-49dc-8194-32a4199348df.pdf)
,2026-08-30,[Shareholder Meeting / Postal Ballot-Scrutinizers Report](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=21681ba2-5d1e-4ee4-8fd7-b853d103cf85.pdf)
,2026-08-27,[Shareholder Meeting / Postal Ballot-Outcome of AGM](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=09a0ac3f-edc8-4366-9604-f82f79aafbc8.pdf)
,2026-08-26,[Clarification Regarding Article Appearing In Dealstreetasia.Com Dated 25Th August 2026 Titled Chryscapital- Backed KIMS In Talks To Acquire Stake In Renova Hospitals For $52 Million](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f1819042-1b8b-42d9-acb4-051608ea3d68.pdf)
,2026-08-20,[KIMS Has Entered Into An Operations And Management Agreement And Call Option Agreement With Aurevia Hospitals Private Limited (Formerly Known As Golden Lan Solution Private Limited) Hyderabad Telangana](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6d397541-9c7b-44bb-ab0f-fe790ff14c9a.pdf)
,2026-08-20,[Announcement under Regulation 30 (LODR)-Allotment](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=11649dd1-e8cc-4365-acaf-b4dd1becb898.pdf)
,2026-08-07,[Intimation Of Receipt Of The In-Principle Approval From BSE Limited And The National Stock Exchange Of India Limited](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e577a3de-ba41-49ca-a8a1-82b130990505.pdf)
,2026-08-06,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=00e7a49d-c759-452d-99b6-732dc5cd1504.pdf)
,2026-08-05,[24Th Annual General Meeting Of The Company Scheduled To Be Held On 27Th August 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=44eada43-3579-447b-900c-28138cdb9b7a.pdf)
,Date,Document
,---,---
,2026-08-08,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f825bf32-73dc-402f-81a1-3ffb31035412.pdf)
,2026-05-22,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b0fbbe0a-35fc-4ed0-9ddf-da65222c638f.pdf)
,2026-02-13,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=426c91b3-b646-40b0-a5c3-6659b740a2e6.pdf)
,2025-11-14,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=87852130-8394-44b2-9379-218416cf1976.pdf)
,2025-08-13,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8e3f020c-994f-4490-b23e-20e263534c23.pdf)
,2025-02-13,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=55f08080-dde1-4535-853a-09d070a8f29e.pdf)
,2024-08-14,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=392433d5-728c-4648-806a-286a8f969e1f.pdf)
,2024-05-23,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=27287524-659d-486d-a4f5-5b331fc53a55.pdf)
,2024-02-08,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f8c891ae-f68b-44bb-9496-d1a7a21b04c7.pdf)
,2023-11-10,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3c4117c1-1f4c-46e7-bdf4-ac04785c868d.pdf)
,Date,Document
,---,---
,2026-08-04,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d31d5bec-e736-4b33-a46f-27c6383bcfad.pdf)
,2026-05-18,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=93eddb7f-2407-4ab0-93d5-25b6430e331f.pdf)
,2026-02-09,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ce9411df-c73d-4027-b8fc-1327f5155192.pdf)
,2025-11-10,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6d8d183e-f15d-4e33-954e-e8ce9e8140e2.pdf)
,2025-08-07,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7f985b27-3faf-4d73-8cd0-93b3fb2776df.pdf)
,2024-11-11,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=faff119e-3d09-408e-8d51-78424c47bd40.pdf)
,2024-08-08,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=aca63965-2866-4cd5-bb7a-af9e797c667c.pdf)
,2024-05-17,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f3a1b41d-a771-4e0f-974c-dfdb19106a83.pdf)
,2024-02-05,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6e755005-e379-4aaf-b366-7882fa99ea59.pdf)
,2023-08-09,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e1e451f5-9696-415f-8c29-268749527cf1.pdf)
,Date,Document
,---,---
,2026-08-03,[Financial Results For Q1 2026-27](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1398555a-6b99-40c9-b173-b4cee6064d9c.pdf)
,2026-05-15,[Results](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8d7b5174-f1a9-4a79-a09e-7b132c9bbcee.pdf)
,2026-02-06,[Q3FY26](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8138661d-5652-479a-b229-aeef34f1fb38.pdf)
,2025-11-07,[Results For The Quarter And Half Year Ended 30.09.2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5319c2c2-3a98-476a-9847-351730771892.pdf)
,2025-08-06,[Results](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=46337bd3-ed47-471f-8f38-cc2543e9824c.pdf)
,2025-05-12,[Results-Financial Result For The Quarter And Year Ended 31.03.2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=38b298df-e3c5-4e43-b119-ecbe41abe8e5.pdf)
