Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,652,606,634,688,777,772,797,872,961,998,1075,1180
Expenses,475,459,475,509,559,585,599,679,757,799,868,956
Operating Profit,177,147,159,179,218,187,198,193,204,199,206,223
OPM %,27,24,25,26,28,24,25,22,21,20,19,19
Other Income,3,3,4,5,5,18,15,7,4,5,1,17
Interest,9,12,16,18,20,26,27,33,45,57,68,83
Depreciation,33,35,46,39,41,45,53,53,66,79,85,101
Profit before tax,139,102,100,127,162,135,134,114,97,69,55,57
Tax %,27,25,28,25,26,31,21,25,26,24,40,34
Net Profit,101,77,72,95,121,92,106,85,72,52,33,37
EPS in Rs,2.3,1.8,1.64,2.16,2.68,2.22,2.54,1.96,1.67,1.33,1.06,0.99
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,664,918,1123,1330,1651,2198,2498,3035,3905,4212,,
Expenses,593,833,872,953,1126,1587,1850,2242,3090,3380,,
Operating Profit,71,85,251,377,524,611,648,793,815,833,,
OPM %,11,9,22,28,32,28,26,26,21,20,,
Other Income,37,6,5,9,27,41,13,43,17,28,,
Interest,88,49,44,37,22,37,55,100,215,253,,
Depreciation,40,56,71,70,73,129,147,177,283,331,,
Profit before tax,-20,-15,141,279,457,485,460,558,334,277,,
Tax %,126,223,18,26,25,25,27,26,28,—,,
Net Profit,-46,-49,115,205,344,366,336,415,242,194,,
EPS in Rs,-1.32,-1.28,3.2,5.19,8.32,8.41,7.75,9.61,6.03,5.05,,
Dividend Payout %,0,0,0,0,0,0,0,0,0,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,72,50,74,74,78,80,80,80,80,80,,
Reserves,255,-209,466,524,786,1307,1590,1748,2058,2167,,
Borrowings,280,753,336,369,316,257,678,1355,2562,4253,,
Other Liabilities,167,359,237,228,253,260,553,636,990,1190,,
Total Liabilities,774,954,1114,1194,1433,1904,2901,3820,5689,7691,,
Fixed Assets,518,755,863,916,931,1005,1766,2434,3348,5710,,
CWIP,64,0,0,2,9,21,477,600,1214,606,,
Investments,14,0,0,0,0,332,68,157,99,103,,
Other Assets,177,199,250,276,493,546,590,629,1028,1271,,
Total Assets,774,954,1114,1194,1433,1904,2901,3820,5689,7691,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,82,106,134,202,356,324,432,521,582,511,,
Cash from Investing Activity,-100,-64,-110,-125,-354,-412,-416,-753,-1116,-1452,,
Cash from Financing Activity,24,-39,-27,-44,10,61,20,217,543,940,,
Net Cash Flow,5,3,-3,32,12,-26,36,-15,9,-1,,
Free Cash Flow,-18,49,57,150,262,154,-140,-125,-380,-902,,
CFO/OP,80,192,195,102,104,86,87,102,91,81,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,59,59,49,43,30,28,42,43,48,52,,
Inventory Days,43,46,47,44,30,37,—,—,—,—,,
Days Payable,207,215,181,177,167,133,—,—,—,—,,
Cash Conversion Cycle,-105,-110,-85,-91,-106,-67,42,43,48,52,,
Working Capital Days,26,-333,-15,-15,-31,-3,8,-5,-29,-37,,
ROCE %,15,11,5,20,29,34,24,17,15,10,,
