Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1305,1391,1660,1632,1505,1454,1749,1762,1948,1873,2116,2000
Expenses,1103,1133,1357,1307,1207,1199,1437,1435,1567,1541,1740,1699
Operating Profit,201,258,303,325,298,255,312,327,382,331,376,300
OPM %,15,19,18,20,20,18,18,19,20,18,18,15
Other Income,8,-24,23,18,19,11,36,39,13,-13,2,15
Interest,74,82,97,101,118,133,131,139,136,128,120,116
Depreciation,30,31,31,30,33,37,39,40,42,43,49,49
Profit before tax,105,122,198,211,166,95,179,187,216,148,210,151
Tax %,26,26,26,26,25,28,29,26,26,26,26,26
Net Profit,78,89,147,156,125,68,127,139,159,109,155,111
EPS in Rs,5.38,6.2,10.25,10.98,8.79,4.91,9.03,9.77,11.18,7.66,10.91,7.82
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,3055,3626,3379,3296,4022,5020,5898,6329,7701,7937,,
Expenses,2790,3251,3085,2909,3610,4286,4871,5148,6287,6547,,
Operating Profit,265,376,295,387,412,734,1027,1181,1414,1390,,
OPM %,9,10,9,12,10,15,17,19,18,18,,
Other Income,72,63,52,17,27,29,16,92,44,17,,
Interest,12,13,14,50,106,210,329,482,523,499,,
Depreciation,123,94,87,84,101,105,119,139,174,183,,
Profit before tax,203,331,245,270,232,449,595,651,761,725,,
Tax %,33,34,23,27,26,26,26,27,26,—,,
Net Profit,136,220,188,197,171,332,440,476,562,535,,
EPS in Rs,9.66,15.16,12.81,13.48,12.07,22.96,30.48,33.69,39.51,37.57,,
Dividend Payout %,52,33,31,30,33,22,20,19,18,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,29,29,29,29,29,29,29,29,29,29,,
Reserves,1588,1547,1670,1716,1893,2053,2275,2647,3057,3591,,
Borrowings,12,142,90,189,849,1965,3244,4142,5819,5374,,
Other Liabilities,541,783,807,825,1026,975,1169,1450,1573,1851,,
Total Liabilities,2170,2500,2595,2759,3797,5021,6717,8268,10478,10846,,
Fixed Assets,440,702,663,623,698,721,689,769,1183,1327,,
CWIP,15,30,41,78,55,43,69,293,98,149,,
Investments,988,675,711,433,834,738,658,489,601,440,,
Other Assets,727,1093,1180,1626,2210,3519,5302,6718,8597,8930,,
Total Assets,2170,2500,2595,2759,3797,5021,6717,8268,10478,10846,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,171,136,192,-124,-16,-1041,-920,-469,-739,932,,
Cash from Investing Activity,-190,7,-38,233,-465,-3,-145,-109,-522,-320,,
Cash from Financing Activity,2,-96,-153,-43,599,950,1182,800,1510,-589,,
Net Cash Flow,-16,48,1,67,118,-93,117,223,248,23,,
Free Cash Flow,114,26,139,-206,-120,-1165,-1081,-846,-996,595,,
CFO/OP,71,83,83,-16,8,-233,-109,-31,-49,79,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,27,48,41,45,49,43,38,38,40,45,,
Inventory Days,49,64,49,69,68,54,64,67,60,61,,
Days Payable,77,91,69,70,106,80,79,83,72,78,,
Cash Conversion Cycle,0,21,21,43,10,17,23,22,28,28,,
Working Capital Days,20,17,13,47,0,13,4,-49,-33,-2,,
ROCE %,13,10,17,12,13,10,13,15,14,15,,
