Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,13717,14495,15156,15837,16427,16633,16772,17248,17199,17507,17827,18355
Expenses,10136,12484,14920,12263,13094,10596,13666,13123,11606,13933,13656,14857
Financing Profit,-1955,-3975,-5976,-3231,-3806,-1133,-4051,-3402,-1740,-3811,-3205,-4205
Financing Margin %,-14,-27,-39,-20,-23,-7,-24,-20,-10,-22,-18,-23
Other Income,7843,9588,12751,13042,10453,7313,10402,9456,7703,10344,10648,11714
Interest,5536,5985,6212,6805,7139,7170,7157,7527,7333,7384,7376,7703
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,5888,5614,6775,9811,6647,6180,6351,6053,5963,6533,7443,7509
Tax %,25,25,23,25,25,25,23,27,25,25,27,27
Net Profit,4461,4265,5337,7448,5044,4701,4933,4472,4468,4924,5423,5480
EPS in Rs,4.49,4.29,5.37,7.49,5.07,4.73,4.96,4.5,4.49,4.95,5.45,5.51
Gross NPA %,1.69,1.68,1.38,1.39,1.48,1.51,1.45,—,—,—,—,—
Net NPA %,0.39,0.36,0.36,0.38,0.45,0.44,0.36,—,—,—,—,—
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,25131,29831,33474,32820,33740,42151,56237,65669,69781,70887,,
Expenses,16805,19758,22578,29812,31069,33485,47052,48894,54524,54053,,
Financing Profit,-4141,-5114,-5005,-9958,-8882,-5746,-13382,-11496,-14362,-12961,,
Financing Margin %,-16,-17,-15,-30,-26,-14,-24,-18,-21,-18,,
Other Income,13682,16148,16892,23588,25311,25991,38037,41426,41387,40409,,
Interest,12467,15187,15901,12967,11553,14411,22567,28271,29620,29795,,
Depreciation,383,458,465,461,480,599,792,941,1032,0,,
Profit before tax,9158,10576,11422,13168,15948,19646,23863,28989,25993,27448,,
Tax %,33,33,25,25,25,25,25,24,26,—,,
Net Profit,6258,7204,8593,9990,12089,14925,18213,22126,19288,20296,,
EPS in Rs,6.51,7.55,8.98,10.08,12.18,15.03,18.32,22.26,19.39,20.4,,
Dividend Payout %,2,2,0,2,2,2,2,2,3,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,920,953,954,957,991,992,993,994,994,995,,
Reserves,37572,49535,56827,65680,83348,95673,110821,128978,156495,180231,,
Borrowing,49690,58604,66939,66077,48239,55648,57534,75106,97622,95394,,
Deposits,155540,191236,224824,260400,278871,310087,361273,445269,494707,566940,,
Other Liabilities,32465,37392,45626,50059,67405,84097,89809,117321,129995,159793,,
Total Liabilities,276188,337720,395171,443173,478854,546498,620430,767667,879814,1003353,,
Fixed Assets,1759,2543,2697,2675,2554,2723,3075,3510,3759,3801,,
CWIP,0,0,0,0,0,0,0,0,0,0,,
Investments,68462,90977,103487,111197,156946,164529,195338,246446,284255,290633,,
Other Assets,205967,244201,288987,329301,319355,379245,422017,517711,591801,708919,,
Total Assets,276188,337720,395171,443173,478854,546498,620430,767667,879814,1003353,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,13222,-10392,1822,46619,4881,8418,-1242,15685,16916,41727,,
Cash from Investing Activity,-5289,-5475,-3323,-13068,-11172,-11018,-10381,-8919,-25226,-16159,,
Cash from Financing Activity,6055,14679,8365,-735,-10072,7549,1883,15515,22165,-2538,,
Net Cash Flow,13989,-1188,6864,32815,-16363,4949,-9740,22281,13855,23029,,
Free Cash Flow,12840,-10758,1331,46206,4581,7785,-2203,14593,15768,40690,,
CFO/OP,205,-89,52,454,270,455,41,236,139,316,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,14,14,13,14,13,13,14,15,15,11,,
