Item,Date,Document
,8 May - Post-earnings investor meet audio recording is now available on KPIT’s website.,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome 8 May - Post-earnings investor meet audio recording is now available on KPIT’s website.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/b1c540fd-39e4-4c18-bb08-912e950126a4.pdf)
,"8 May - Founder and Chairman S.B. (Ravi) Pandit passed away on May 8, 2026.","[General - Update 8 May - Founder and Chairman S.B. (Ravi) Pandit passed away on May 8, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/99d39bef-4758-43af-b793-ceb92e20092b.pdf)"
,"7 May - Copy of newspaper publication dated May 06, 2026.","[Announcement under Regulation 30 (LODR)-Newspaper Publication 7 May - Copy of newspaper publication dated May 06, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/a16b8f2f-a3ce-4d0a-8b5c-c35e7bc22dbd.pdf)"
,"6 May - KPIT approves FY26 audited results, Rs 5.25 final dividend, and strategic Cymotive acquisition starting with USD 10 million.","[Announcement under Regulation 30 (LODR)-Acquisition 6 May - KPIT approves FY26 audited results, Rs 5.25 final dividend, and strategic Cymotive acquisition starting with USD 10 million.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/d15f93e1-7fba-47ac-9ea4-bb29d2d95154.pdf)"
,"5 Mar - Parag Shah appointed independent director Jan 29, 2026–Jan 28, 2029.","[Shareholder Meeting / Postal Ballot-Scrutinizer""s Report 5 Mar - Parag Shah appointed independent director Jan 29, 2026–Jan 28, 2029.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/de52c423-0c2a-4bbb-b749-2c79cb3fe6a2.pdf)"
,30 Apr - NSE and BSE approved reclassification of Ajay and Ashwini Bhagwat from promoter to public.,[Announcement Under Regulation 30 - Approval For Reclassification Of Two Promoters Of The Company From 'Promoter' Category To 'Public' Category. 30 Apr - NSE and BSE approved reclassification of Ajay and Ashwini Bhagwat from promoter to public.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/346b36b8-0e91-4fbc-847e-1282a10de117.pdf)
,"2d - Post Earnings Investor Meet of the Company is scheduled on Thursday, May 7, 2026, at 16:30 Hrs. (IST). The details of the said Investor meet …","[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation 2d - Post Earnings Investor Meet of the Company is scheduled on Thursday, May 7, 2026, at 16:30 Hrs. (IST). The details of the said Investor meet …](https://www.bseindia.com/xml-data/corpfiling/AttachLive/e169bac5-47b4-4df2-92d2-0876604b5b31.pdf)"
,"29 Apr - Board meeting on May 6, 2026 to consider FY26 audited results and final dividend, if any.","[Board Meeting Intimation for Intimation Of Board Meeting 29 Apr - Board meeting on May 6, 2026 to consider FY26 audited results and final dividend, if any.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/71e2811d-c0e2-4fa9-aafb-f1443fbeba95.pdf)"
,"28 Apr - Committee approved grant of 21,000 RSUs to eligible employees on April 28, 2026.","[Announcement Under Regulation 30 (LODR) - Grant Of Options To Eligible Employees. 28 Apr - Committee approved grant of 21,000 RSUs to eligible employees on April 28, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/71d6f962-4ad2-41ee-87e6-42d7d6253796.pdf)"
