Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1199,1257,1318,1365,1471,1478,1528,1539,1588,1617,1711,1675
Expenses,959,998,1045,1077,1174,1172,1205,1244,1290,1306,1394,1418
Operating Profit,240,259,272,288,297,306,323,295,298,311,317,257
OPM %,20,21,21,21,20,21,21,19,19,19,18,15
Other Income,9,19,17,54,52,19,60,16,24,-26,12,8
Interest,14,16,12,13,10,10,9,12,16,23,22,23
Depreciation,48,50,53,53,56,58,58,63,75,81,82,83
Profit before tax,188,212,224,277,283,257,316,236,231,181,225,160
Tax %,25,26,26,26,28,27,23,27,27,26,27,27
Net Profit,141,157,166,204,204,187,245,172,169,133,163,116
EPS in Rs,5.14,5.67,6,7.45,7.43,6.82,8.93,6.27,6.17,4.86,5.95,4.27
Item,Mar 2018 3m,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,0,641,2156,2036,2432,3365,4872,5842,6455,6591,,
Expenses,0,550,1866,1729,1994,2732,3881,4613,5235,5408,,
Operating Profit,0,92,290,307,439,633,991,1230,1220,1183,,
OPM %,—,14,13,15,18,19,20,21,19,18,,
Other Income,0,1,19,21,45,43,60,170,26,18,,
Interest,0,7,20,17,19,32,55,42,74,85,,
Depreciation,0,19,108,133,120,146,196,225,301,320,,
Profit before tax,0,67,181,178,345,497,800,1133,872,797,,
Tax %,0,18,18,17,20,22,25,26,27,—,,
Net Profit,0,55,148,147,276,387,599,840,637,582,,
EPS in Rs,-27,1.98,5.38,5.33,10,13.9,21.69,30.63,23.25,21.25,,
Dividend Payout %,0,37,18,28,31,29,31,28,32,—,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Equity Capital,0.1,268,269,269,270,270,271,272,272,,,
Reserves,0,691,780,938,1040,1381,1875,2640,3269,,,
Borrowings,0,132,204,230,227,287,329,345,838,,,
Other Liabilities,0,582,384,531,799,1402,1624,1707,2742,,,
Total Liabilities,0,1674,1637,1968,2336,3341,4098,4964,7121,,,
Fixed Assets,0,420,526,577,641,1684,1915,1972,3985,,,
CWIP,0,1,5,12,0,33,58,10,6,,,
Investments,0,50,9,127,129,64,94,432,172,,,
Other Assets,0,1204,1096,1251,1566,1559,2030,2551,2958,,,
Total Assets,0,1674,1637,1968,2336,3341,4098,4964,7121,,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Cash from Operating Activity,0,151,389,628,475,462,1002,1390,1195,,,
Cash from Investing Activity,0,16,-136,-503,-292,-167,-561,-567,-1188,,,
Cash from Financing Activity,0,34,-177,-115,-127,-183,-240,-342,89,,,
Net Cash Flow,0,201,75,10,56,112,201,480,95,,,
Free Cash Flow,0,125,321,568,406,335,847,1262,1056,,,
CFO/OP,4,185,163,215,129,89,115,130,115,,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Debtor Days,—,337,76,55,56,64,56,56,61,,,
Cash Conversion Cycle,—,337,76,55,56,64,56,56,61,,,
Working Capital Days,—,182,29,-11,-29,-28,-26,-32,-74,,,
ROCE %,—,20,18,14,24,30,38,40,26,,,
