Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,156,166,172,179,209,228,232,236,258,278,289,287
Expenses,125,129,131,141,164,178,177,186,201,216,221,230
Operating Profit,31,37,40,38,45,50,55,50,56,62,68,57
OPM %,20,22,24,21,22,22,24,21,22,22,23,20
Other Income,17,23,16,17,23,15,21,23,19,18,16,21
Interest,1,1,1,1,1,0,5,2,3,2,3,1
Depreciation,2,2,2,3,9,8,9,10,10,10,10,11
Profit before tax,45,57,53,52,58,56,62,62,62,67,71,65
Tax %,24,18,15,25,30,24,18,18,26,24,22,28
Net Profit,34,47,45,39,41,43,51,51,46,51,55,47
EPS in Rs,1.66,2.26,2.2,1.89,1.94,2.03,2.59,2.46,2.15,2.42,2.55,2.33
Item,Mar 2014,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,78,288,310,306,408,539,641,848,1060,1111,,
Expenses,52,215,230,201,286,394,504,652,823,869,,
Operating Profit,26,73,80,105,122,145,136,196,237,243,,
OPM %,33,25,26,34,30,27,21,23,22,22,,
Other Income,1,8,19,21,44,56,74,69,76,74,,
Interest,1,3,3,3,3,3,3,7,10,9,,
Depreciation,2,7,7,7,8,9,10,29,41,43,,
Profit before tax,24,70,90,116,154,189,197,229,261,265,,
Tax %,29,15,19,21,16,18,19,24,23,—,,
Net Profit,17,60,73,91,130,155,159,173,202,199,,
EPS in Rs,21.48,73.85,89.79,112.43,6.46,7.59,7.7,8.44,9.57,9.45,,
Dividend Payout %,0,0,0,0,0,0,0,0,0,—,,
Item,Mar 2013,Mar 2014,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,0.8,0.8,0.81,0.81,0.81,20,20,21,21,21,,
Reserves,14,34,266,347,437,1006,1187,1354,1479,1735,,
Borrowings,8,13,36,33,52,26,21,24,29,33,,
Other Liabilities,2,5,21,17,30,48,34,57,260,295,,
Total Liabilities,25,53,324,398,519,1100,1263,1456,1789,2083,,
Fixed Assets,2,7,37,35,30,29,23,28,401,397,,
CWIP,0,1,0,0,0,0,0,0,9,0,,
Investments,3,12,99,72,139,194,501,676,848,917,,
Other Assets,20,33,188,290,350,878,739,753,531,769,,
Total Assets,25,53,324,398,519,1100,1263,1456,1789,2083,,
Item,Mar 2013,Mar 2014,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,—,—,64,63,90,87,97,115,130,165,,
Cash from Investing Activity,—,—,-46,-29,-47,-435,-277,-3,-221,-69,,
Cash from Financing Activity,—,—,-6,-5,17,449,-4,-1,-5,-7,,
Net Cash Flow,—,—,12,28,60,102,-183,111,-95,89,,
Free Cash Flow,—,—,63,60,88,81,94,111,115,142,,
CFO/OP,—,—,115,104,101,94,86,107,93,101,,
Item,Mar 2013,Mar 2014,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,68,60,64,62,73,75,67,64,80,80,,
Cash Conversion Cycle,68,60,64,62,73,75,67,64,80,80,,
Working Capital Days,154,122,62,72,75,82,76,141,100,34,,
ROCE %,—,71,—,25,27,17,17,15,15,16,,
