Item,Date,Document
,2026-09-08,[Intimation Of Analyst/Institutional Investor Meets/Conferences](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bfa80331-22ad-4054-bdbe-b942e42cffb4.pdf)
,2026-08-31,[Announcement under Regulation 30 (LODR)-Cessation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d7821f13-69f0-42c6-85af-0a55e5438ea7.pdf)
,2026-08-31,[Product Launch](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b79b86c8-142e-419a-8065-2dbd9aee9cb2.pdf)
,2026-08-27,[Restructuring Under Regulation 30](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b8ae294d-eaf1-43c2-af94-5e06e8303996.pdf)
,2026-08-19,[Post Offer For Sale Shareholding Pattern](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3a47d5bb-24fb-4538-a355-be147a11b51a.pdf)
,2026-08-18,[Announcement under Regulation 30 (LODR)-Change in Management](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=27b214bd-6d57-476f-bab8-3564a8c6dde6.pdf)
,2026-08-17,[Update On Analyst/Institutional Investor Meet/Conference](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6dd87b4e-dddd-4907-bd93-3fb374f098fb.pdf)
,2026-08-13,[Update On Investor Meet](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1d5ee293-18e3-4271-a095-1b0e677d42a0.pdf)
,2026-08-12,[Presentaion For Analyst/Institutional Investor Meet/Conference](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=07898360-ba60-4dc6-a68d-ba240e4ca3cf.pdf)
,2026-08-12,[Transcript Of Earning Conference Call With The Analyst/Investors](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cefca5f4-2b3a-4cd8-9cd1-215f84a24208.pdf)
,Date,Document
,---,---
,2026-08-06,[Audio Call Recording Of Conference Call With The Analyst/Investors](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=308cc7f2-511d-4944-af8c-866b5a6c6c00.pdf)
,2026-05-22,[Audio Recording Of The Conference](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=116b31d9-fddf-494c-86f5-78ce418803e7.pdf)
,2025-11-06,[Announcement Under Regulation 30 Of SEBI (LODR) - Audio Recording Of Earnings Call](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5048a7c1-b956-403e-b923-16b055aca9df.pdf)
,2025-08-07,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=64882326-c90e-492f-be3e-8bb25a06e28f.pdf)
,2025-05-27,[Announcement Under Regulation 30 Of SEBI (LODR) - Audio Call Recording Of Earning Call](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=191ca111-af7e-48b6-911e-8f96da2ee94e.pdf)
,Date,Document
,---,---
,Nov 2025,[Concall - Nov 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3fb31d03-e6e1-4399-a277-d84442d4ba03.pdf)
,Nov 2025,[Concall - Nov 2025](https://www.bseindia.com/xml-data/corpfiling/AttachHis/e780d6bd-d05b-4198-9154-dd666984e7f4.pdf)
,Nov 2025,[Concall - Nov 2025](https://www.bseindia.com/xml-data/corpfiling/AttachHis/3fb31d03-e6e1-4399-a277-d84442d4ba03.pdf)
,Nov 2025,[Concall - Nov 2025](https://www.bseindia.com/xml-data/corpfiling/AttachHis/27396945-f034-49bd-ac3f-5d7d66b2c1d2.pdf)
,May 2026,[Concall - May 2026](https://www.bseindia.com/xml-data/corpfiling/AttachHis/2f67c5ee-c7fe-4697-b0cc-b86825ca59b1.pdf)
,May 2026,[Concall - May 2026](https://www.bseindia.com/xml-data/corpfiling/AttachLive/2f67c5ee-c7fe-4697-b0cc-b86825ca59b1.pdf)
,Jun 2025,[Concall - Jun 2025](https://www.bseindia.com/xml-data/corpfiling/AttachHis/9a5bf1c4-beba-4f5b-82a5-c5fe7ebad112.pdf)
,Feb 2026,[Concall - Feb 2026](https://www.bseindia.com/xml-data/corpfiling/AttachHis/315382f7-76e8-42ba-b8bb-a6546f54c273.pdf)
,Aug 2025,[Concall - Aug 2025](https://www.bseindia.com/xml-data/corpfiling/AttachHis/00e58db4-13b3-4c3b-b251-367ff8beac6d.pdf)
,Aug 2025,[Concall - Aug 2025](https://www.bseindia.com/xml-data/corpfiling/AttachHis/3f5f17be-eb60-48e0-8e5f-64a6b5f971f6.pdf)
,Date,Document
,---,---
,2026-05-28,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2f67c5ee-c7fe-4697-b0cc-b86825ca59b1.pdf)
,2025-11-13,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=27396945-f034-49bd-ac3f-5d7d66b2c1d2.pdf)
,2025-08-14,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3f5f17be-eb60-48e0-8e5f-64a6b5f971f6.pdf)
,2025-06-03,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9a5bf1c4-beba-4f5b-82a5-c5fe7ebad112.pdf)
,2025-02-14,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cfaedc5c-40e5-485f-9338-4edf13427064.pdf)
,Date,Document
,---,---
,2026-05-21,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=96dfcb3c-e7d5-4df8-ba27-64f4525f9659.pdf)
,2026-02-05,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=48ceddad-0897-45a3-b6e1-f664b2b6160d.pdf)
,2025-11-11,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fe12aa30-ff7e-4c6d-a5e6-75e7cf18d28c.pdf)
,2025-11-06,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e780d6bd-d05b-4198-9154-dd666984e7f4.pdf)
,2025-08-11,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e724b495-d0d5-46ad-a20e-7d9b9c1036b2.pdf)
,2025-08-07,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=00e58db4-13b3-4c3b-b251-367ff8beac6d.pdf)
,Date,Document
,---,---
,"9 Mar - Himachal GST demand dated Mar 9, 2026: GST ₹1,790,956; interest ₹2,722,254; penalty ₹1,790,956; appealable.","[Announcement Under Regulation 30 Of SEBI (LODR) - GST Litigation 9 Mar - Himachal GST demand dated Mar 9, 2026: GST ₹1,790,956; interest ₹2,722,254; penalty ₹1,790,956; appealable.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/5a0fca66-1fc0-41b1-bc4f-fba3ad3e8c7e.pdf)"
,"8h - LIC elevated seven officials to senior management roles effective April 06, 2026.","[Announcement under Regulation 30 (LODR)-Change in Management 8h - LIC elevated seven officials to senior management roles effective April 06, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/d81a381a-f98b-42c0-a156-f16a5171c736.pdf)"
,"8h - LIC board meets April 13, 2026 to consider recommending bonus shares.","[Board Meeting Intimation for Meeting Of The Board Of The Directors Is Scheduled To Be Held On April 13, 2026. 8h - LIC board meets April 13, 2026 to consider recommending bonus shares.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/27a113f6-e252-482c-91bb-5a253580e73c.pdf)"
,"7h - LIC elevates Mukesh Chandra Joshi to Additional Zonal Manager, North Central Zone, Kanpur, effective April 13, 2026.","[Announcement under Regulation 30 (LODR)-Change in Management 7h - LIC elevates Mukesh Chandra Joshi to Additional Zonal Manager, North Central Zone, Kanpur, effective April 13, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/53c4430a-c790-4882-9c9c-71c24eca4524.pdf)"
,"7h - LIC elevates Ms. Mamta Meena to Additional Director, Zonal Training Centre, Bhopal, effective April 16, 2026.","[Announcement under Regulation 30 (LODR)-Change in Management 7h - LIC elevates Ms. Mamta Meena to Additional Director, Zonal Training Centre, Bhopal, effective April 16, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/66630455-5016-4aae-a125-561e5f9bab72.pdf)"
,"6h - LIC board approves 1:1 bonus equity issue, subject to shareholder approval; record date to be announced.","[Announcement under Regulation 30 (LODR)-Press Release / Media Release 6h - LIC board approves 1:1 bonus equity issue, subject to shareholder approval; record date to be announced.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/b1571077-0ea5-40c5-ad5b-bd341f8ec17e.pdf)"
