Item,Indicator,Value,Signal
,SMA (10),6339,Sell
,EMA (10),6353.62,Sell
,SMA (20),6479.65,Sell
,EMA (20),6468.44,Sell
,SMA (50),6756.83,Sell
,EMA (50),6688.27,Sell
,SMA (100),6992.83,Sell
,EMA (100),6796.95,Sell
,SMA (200),6700.55,Sell
,EMA (200),6756.6,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),27.43,Buy
,"MACD (12,26,9)",-148.49,Sell
,"Stochastic (14,3,3)",11.25,Buy
,ADX (14),26.76,Buy
,Williams %R (14),-87.38,Buy
,ATR (14),144.61,Neutral
,ROC (12),-5.62,Sell
,Stoch RSI (14),0,Buy
,"UO (7,14,28)",36.59,Neutral
