Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1750,2931,4018,2846,2626,4083,4224,3492,3798,4672,4714,4997
Expenses,1338,2055,2972,2090,1922,2777,3004,2508,2690,3257,3301,3074
Operating Profit,412,876,1046,756,704,1306,1220,984,1108,1415,1413,1922
OPM %,24,30,26,27,27,32,29,28,29,30,30,38
Other Income,6,-77,65,72,59,64,196,133,80,110,129,102
Interest,123,117,116,117,136,144,152,148,156,185,167,179
Depreciation,29,33,117,60,66,67,78,66,71,98,111,69
Profit before tax,265,649,878,651,560,1158,1186,904,961,1243,1264,1776
Tax %,24,22,24,27,24,18,22,25,18,23,20,23
Net Profit,203,505,667,476,423,945,923,675,790,958,1008,1373
EPS in Rs,2.09,5.22,6.69,4.78,4.25,9.47,9.24,6.76,7.9,9.58,10.09,13.73
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,9677,11907,12443,5449,9233,9470,10316,13780,16676,18181,,
Expenses,7995,8728,10526,4066,7047,7406,7651,9791,11753,12323,,
Operating Profit,1682,3179,1917,1383,2186,2064,2665,3989,4923,5858,,
OPM %,17,27,15,25,24,22,26,29,30,32,,
Other Income,285,72,119,-140,293,-1037,48,390,452,422,,
Interest,390,568,740,1136,688,482,482,552,659,688,,
Depreciation,395,194,292,73,75,93,204,272,345,349,,
Profit before tax,1182,2489,1003,33,1716,452,2028,3556,4371,5244,,
Tax %,33,34,26,-44,30,-8,23,22,22,—,,
Net Profit,794,1644,742,48,1208,490,1554,2767,3431,4129,,
EPS in Rs,10.03,20.66,9.19,0.51,12.49,5.05,15.58,27.71,34.32,41.3,,
Dividend Payout %,0,0,0,0,0,20,14,15,12,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,113,396,396,396,396,482,482,994,998,999,,
Reserves,3920,4756,3445,4156,4203,11624,12181,16475,19180,22287,,
Borrowings,16183,22616,25641,18423,18193,11537,9060,7698,7094,9896,,
Other Liabilities,13715,12483,20382,17717,16516,14763,17399,22031,22325,25497,,
Total Liabilities,33931,40251,49864,40693,39308,38404,39122,47198,49597,58680,,
Fixed Assets,1753,2197,2139,2021,1946,1923,1828,1169,1368,2641,,
CWIP,109,6,6,6,6,0,0,4,4,10,,
Investments,1180,1384,1405,1553,1579,574,246,2500,1250,1454,,
Other Assets,30888,36664,46314,37112,35776,35908,37048,43524,46976,54575,,
Total Assets,33931,40251,49864,40693,39308,38404,39122,47198,49597,58680,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,1469,696,-463,3772,2524,1998,2750,2512,1566,959,,
Cash from Investing Activity,-1174,-651,-175,182,420,1139,1789,-2947,47,-780,,
Cash from Financing Activity,-312,24,736,-4188,-2835,-2888,-3706,951,-2506,1589,,
Net Cash Flow,-16,69,97,-234,109,250,834,516,-893,1769,,
Free Cash Flow,1405,654,-562,3743,2530,1965,2674,2346,1091,709,,
CFO/OP,119,75,-5,201,176,100,143,95,55,39,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,28,29,15,23,44,26,28,28,21,32,,
Cash Conversion Cycle,28,29,15,23,44,26,28,28,21,32,,
Working Capital Days,-166,-262,0,-31,114,360,387,442,441,420,,
ROCE %,9,7,11,6,7,10,9,11,15,16,,
