Item,Indicator,Value,Signal
,SMA (10),445.07,Sell
,EMA (10),444.02,Sell
,SMA (20),440.78,Sell
,EMA (20),438.55,Sell
,SMA (50),413.63,Buy
,EMA (50),422.14,Buy
,SMA (100),406.11,Buy
,EMA (100),411.34,Buy
,SMA (200),399.06,Buy
,EMA (200),406.2,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),52.67,Neutral
,"MACD (12,26,9)",8.7,Sell
,"Stochastic (14,3,3)",29.14,Neutral
,ADX (14),52.34,Buy
,Williams %R (14),-77.05,Neutral
,ATR (14),14.05,High Volatility
,ROC (12),-2.92,Sell
,Stoch RSI (14),0,Buy
,"UO (7,14,28)",48.18,Neutral
