Item,Date,Document
,2026-09-04,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=26acff0c-fe1f-42b0-a9f7-8c8f133224f2.pdf)
,2026-09-03,[Shareholder Meeting / Postal Ballot-Notice of Postal Ballot](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=85c28ad1-a2d0-43f1-b2a4-58654872c3da.pdf)
,2026-09-02,[Announcement under Regulation 30 (LODR)-Allotment](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=12102582-e330-411d-8261-d96cfdfc9180.pdf)
,2026-09-02,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9cd8d22a-9f19-4bea-9eda-f2f7f60af064.pdf)
,2026-09-01,[Intimation Under Regulation 30 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations 2015.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=600fe2e2-a4bf-4c55-9e78-a64e4accf2a7.pdf)
,2026-08-28,[Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e9119f46-33ff-4855-9c33-e44c5c57fe0d.pdf)
,2026-08-22,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=434c7a5e-8f19-49ec-a5a3-a1549b5cd9e9.pdf)
,2026-08-20,[Announcement under Regulation 30 (LODR)-Allotment](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f6b3ba65-0d7b-4eb6-b50a-67dd6869438c.pdf)
,2026-08-13,[Announcement under Regulation 30 (LODR)-Issue of Securities](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6aef64f8-8202-4b95-81fb-68a13e719afa.pdf)
,2026-08-11,[Appointment Of Whole-Time Directors Pursuant To Approval Received From Reserve Bank Of India.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f1bde15d-5909-463d-9e09-f4028644298d.pdf)
,Date,Document
,---,---
,2026-07-20,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=45a426fa-4107-46c0-a820-debcc3161104.pdf)
,2026-05-05,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=661bf44f-58a3-471b-9d47-3be55dcb2552.pdf)
,2026-01-27,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b3d88d48-d382-458d-9f64-7f45d0a04592.pdf)
,2025-10-27,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1113c10e-f4ad-4e8f-be8d-f4286d42f210.pdf)
,2025-07-28,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f8941cf2-81d4-4df6-8cfd-92260a351c87.pdf)
,2025-05-06,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3bec477c-8e91-4543-a7ba-2708ea82512e.pdf)
,2025-01-28,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1d64a879-da8c-48c6-8e8f-081f314ac611.pdf)
,2024-10-28,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=05940ad6-5e87-48cb-beaf-0d677c807ec1.pdf)
,2024-07-25,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5f8b66ef-a70f-4b7e-8d8d-7dcd3208c6ce.pdf)
,2024-05-07,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c0ff5e02-d850-43fc-af25-eac03fe73f1b.pdf)
,Date,Document
,---,---
,2026-07-13,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7d7229ca-745e-4b2d-9b05-bd0d9ad41996.pdf)
,2026-04-27,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=59c71f11-d10a-405e-af3a-dcfef5d628ef.pdf)
,2026-01-19,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9aee5462-c5de-49cc-aaf0-a6060c91baa6.pdf)
,2025-11-06,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=86487009-dca3-4648-8124-9abf46dfbceb.pdf)
,2025-10-16,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1ce5e15f-b69b-4d35-ad2c-a26fa301fb3c.pdf)
,2025-07-21,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=dda9a1f3-caba-41b3-bff4-4a2739456614.pdf)
