Item,Indicator,Value,Signal
,SMA (10),4480.6,Sell
,EMA (10),4443.1,Sell
,SMA (20),4516.31,Sell
,EMA (20),4479.3,Sell
,SMA (50),4373.92,Sell
,EMA (50),4403.28,Sell
,SMA (100),4213.26,Buy
,EMA (100),4406.06,Sell
,SMA (200),4790.11,Sell
,EMA (200),4589.16,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),37.91,Neutral
,"MACD (12,26,9)",-14.3,Sell
,"Stochastic (14,3,3)",16.75,Buy
,ADX (14),19.41,Neutral
,Williams %R (14),-100,Buy
,ATR (14),126.68,Neutral
,ROC (12),-4.15,Sell
,Stoch RSI (14),0,Buy
,"UO (7,14,28)",43.52,Neutral
