Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,51024,55128,67079,55120,61555,64668,74392,63679,67984,71450,82762,67942
Expenses,43984,47929,58426,48074,53638,56770,64516,55655,59470,62259,72343,59793
Operating Profit,7040,7199,8653,7046,7917,7898,9876,8024,8513,9190,10419,8149
OPM %,14,13,13,13,13,12,13,13,13,13,13,12
Other Income,1133,838,1135,921,1101,968,1610,1357,1384,-350,1647,2377
Interest,2272,2344,2345,2292,2439,2486,2419,2488,2470,2399,2488,2571
Depreciation,910,921,1021,998,1024,1047,1052,1033,1092,1072,1168,1032
Profit before tax,4991,4772,6422,4677,5555,5333,8014,5860,6336,5370,8410,6922
Tax %,23,25,22,26,26,25,23,26,26,29,25,28
Net Profit,3846,3593,5013,3445,4099,3974,6156,4318,4678,3825,6133,4988
EPS in Rs,23.45,21.44,31.98,20.26,24.69,24.43,39.97,26.3,28.54,23.37,38.71,29.97
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,119683,135220,145452,135979,156521,183341,221113,255734,285874,290137,,
Expenses,99572,112354,120899,112519,132207,156175,192355,221308,250464,253866,,
Operating Profit,20111,22866,24553,23460,24314,27166,28758,34427,35411,36272,,
OPM %,17,17,17,17,16,15,13,13,12,12,,
Other Income,1465,2701,3015,8111,2364,2891,4953,3198,4986,5058,,
Interest,7714,9339,11021,11750,9235,9445,9512,9925,10056,9928,,
Depreciation,2223,1923,2462,2904,2948,3502,3682,4121,4365,4364,,
Profit before tax,11639,14305,14086,16918,14495,17109,20517,23579,25976,27039,,
Tax %,27,28,23,24,29,26,24,25,26,—,,
Net Profit,8004,10217,10894,12921,10419,12531,15547,17673,18954,19624,,
EPS in Rs,52.59,63.48,68.02,82.47,61.7,74.5,95,109.35,116.92,120.59,,
Dividend Payout %,30,28,26,44,36,32,36,31,32,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,187,280,281,281,281,281,281,275,275,275,,
Reserves,50030,54623,62094,66442,75588,82127,89045,86084,97381,109015,,
Borrowings,93954,107524,125555,143174,134629,125508,120650,116322,132409,125497,,
Other Liabilities,67400,80812,90106,96790,99597,111112,119745,136921,149050,217596,,
Total Liabilities,211571,243240,278036,306687,310095,319028,329722,339602,379114,452383,,
Fixed Assets,16677,18580,21194,43653,44319,42945,42641,42964,44055,30867,,
CWIP,13298,13443,13919,3311,500,1250,3066,3045,2589,3311,,
Investments,19753,15311,20907,20047,39627,39395,44798,45648,54805,68377,,
Other Assets,161843,195905,222016,239675,225649,235438,239217,247946,277665,349828,,
Total Assets,211571,243240,278036,306687,310095,319028,329722,339602,379114,452383,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,6655,-10031,-4756,6694,23074,19164,22777,18266,9151,16741,,
Cash from Investing Activity,-9796,3914,-11023,-8408,-5750,-3585,-8048,2179,-15479,-11380,,
Cash from Financing Activity,2896,9370,15440,6372,-15274,-15181,-11572,-25413,6557,-2156,,
Net Cash Flow,-245,3254,-338,4658,2049,397,3156,-4968,228,3204,,
Free Cash Flow,3834,-12046,-8255,3394,22151,16124,18984,14056,5611,12272,,
CFO/OP,59,-33,1,44,113,97,103,82,43,64,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,96,101,99,102,113,108,89,81,77,77,,
Inventory Days,41,45,51,44,51,44,41,32,30,36,,
Days Payable,301,349,340,336,401,378,302,255,208,265,,
Cash Conversion Cycle,-164,-203,-190,-190,-236,-227,-172,-143,-101,-151,,
Working Capital Days,42,45,20,25,28,0,2,-16,-33,-27,,
ROCE %,11,14,13,12,10,10,12,13,15,15,,
