Item,Indicator,Value,Signal
,SMA (10),3969.85,Sell
,EMA (10),3969.54,Sell
,SMA (20),4019.23,Sell
,EMA (20),3990.49,Sell
,SMA (50),3965.49,Sell
,EMA (50),3993.8,Sell
,SMA (100),3997.83,Sell
,EMA (100),3982.25,Sell
,SMA (200),3981.09,Sell
,EMA (200),3924.03,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),41.21,Neutral
,"MACD (12,26,9)",-17.82,Sell
,"Stochastic (14,3,3)",13.78,Buy
,ADX (14),12.65,Neutral
,Williams %R (14),-79.56,Neutral
,ATR (14),57.59,Neutral
,ROC (12),-2.66,Sell
,Stoch RSI (14),9.55,Buy
,"UO (7,14,28)",36.97,Neutral
