Item,Indicator,Value,Signal
,SMA (10),2122.11,Sell
,EMA (10),2119.93,Sell
,SMA (20),2160.93,Sell
,EMA (20),2164.49,Sell
,SMA (50),2311.96,Sell
,EMA (50),2247.43,Sell
,SMA (100),2311.38,Sell
,EMA (100),2274.58,Sell
,SMA (200),2256.28,Sell
,EMA (200),2240.26,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),28.17,Buy
,"MACD (12,26,9)",-59.55,Sell
,"Stochastic (14,3,3)",12.39,Buy
,ADX (14),37.44,Buy
,Williams %R (14),-79.43,Neutral
,ATR (14),40.84,Neutral
,ROC (12),-4.12,Sell
,Stoch RSI (14),47.57,Neutral
,"UO (7,14,28)",39.17,Neutral
