Item,Indicator,Value,Signal
,SMA (10),368.18,Sell
,EMA (10),367.98,Sell
,SMA (20),375.8,Sell
,EMA (20),372.67,Sell
,SMA (50),369.94,Sell
,EMA (50),365.44,Sell
,SMA (100),338.25,Buy
,EMA (100),351.84,Buy
,SMA (200),345.15,Buy
,EMA (200),337.87,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),37.71,Neutral
,"MACD (12,26,9)",-3.36,Sell
,"Stochastic (14,3,3)",10.79,Buy
,ADX (14),20.37,Neutral
,Williams %R (14),-87.85,Buy
,ATR (14),11.26,High Volatility
,ROC (12),-7.58,Sell
,Stoch RSI (14),0,Buy
,"UO (7,14,28)",43.38,Neutral
