Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,34436,35299,35452,37218,37924,41470,42599,45529,46106,52100,54982,58188
Expenses,28706,29075,28848,29975,30790,33239,34658,37117,37166,41939,44855,47360
Operating Profit,5730,6224,6604,7243,7133,8231,7942,8412,8940,10160,10127,10827
OPM %,17,18,19,19,19,20,19,18,19,20,18,19
Other Income,812,756,750,733,1126,719,1110,1210,1134,976,1137,1121
Interest,1835,1945,1989,2108,2217,2362,2397,2431,2347,2405,2407,2560
Depreciation,1139,1123,1335,1248,1302,1495,2029,1548,1669,2163,1943,1760
Profit before tax,3568,3912,4030,4621,4740,5092,4627,5644,6058,6569,6914,7628
Tax %,30,24,22,23,29,29,23,22,35,24,24,21
Net Profit,2484,2977,3125,3546,3361,3624,3542,4377,3964,5021,5260,5998
EPS in Rs,18.88,21.38,22.15,26.4,25.5,25.58,26.5,32.84,29.54,37.59,37.53,43.86
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,92094,104721,75382,74278,90171,121362,139078,159211,198639,211375,,
Expenses,78868,89514,65224,62791,75488,101037,114186,128693,161659,171321,,
Operating Profit,13226,15207,10158,11487,14683,20325,24892,30518,36980,40054,,
OPM %,14,15,13,15,16,17,18,19,19,19,,
Other Income,4366,2676,885,1152,3204,3922,3298,3718,5118,4369,,
Interest,3987,5021,6021,6102,5018,5830,7488,9083,9591,9720,,
Depreciation,3280,3991,3367,3378,3508,4357,4724,6074,7322,7535,,
Profit before tax,10326,8871,1655,3158,9362,14060,15978,19080,25185,27169,,
Tax %,23,32,119,52,23,19,23,26,26,—,,
Net Profit,7958,6017,-321,1512,7253,11374,12270,14073,18622,20243,,
EPS in Rs,60.41,42.76,1.02,14.58,52.91,82.68,90.62,103.97,137.5,148.52,,
Dividend Payout %,11,17,205,54,20,18,21,22,22,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,311,543,544,554,555,556,557,557,558,559,,
Reserves,29467,36232,39439,39415,41027,46567,55809,65633,76481,92538,,
Borrowings,48762,55898,70848,82092,80625,77605,92647,108647,129025,136936,,
Other Liabilities,35296,43696,51057,43655,42762,47661,55270,59884,69950,86021,,
Total Liabilities,113835,136369,161889,165716,164968,172388,204283,234722,276013,316054,,
Fixed Assets,20989,26182,28983,29689,21380,26018,27140,28129,34636,38459,,
CWIP,4279,4269,4760,6856,7873,6703,3969,8039,8298,7740,,
Investments,14662,16018,18268,19210,28778,30060,35272,35208,41309,40324,,
Other Assets,73905,89900,109878,109960,106938,109607,137902,163345,191771,229531,,
Total Assets,113835,136369,161889,165716,164968,172388,204283,234722,276013,316054,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,183,682,-4347,-1457,17909,9248,-7074,-5630,3176,11657,,
Cash from Investing Activity,-5875,-5467,-7174,-6870,-19686,-3252,-8866,-5615,-18616,-17680,,
Cash from Financing Activity,6108,6314,13194,6933,406,-5883,15946,12281,15834,5391,,
Net Cash Flow,416,1529,1672,-1394,-1370,113,6,1037,394,-632,,
Free Cash Flow,-4780,-5109,-11546,-8251,13283,3328,-13241,-15303,-6633,2545,,
CFO/OP,20,25,-9,8,172,74,-21,-7,26,48,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,31,34,30,34,30,26,21,20,19,17,,
Inventory Days,64,64,74,106,91,82,83,81,78,65,,
Days Payable,107,125,127,142,147,134,118,112,118,112,,
Cash Conversion Cycle,-11,-27,-23,-3,-26,-27,-13,-11,-21,-30,,
Working Capital Days,-2,-8,-14,-20,-11,-13,-14,-8,-14,-40,,
ROCE %,12,13,12,7,8,11,13,14,14,15,,
