Item,Indicator,Value,Signal
,SMA (10),3175.18,Sell
,EMA (10),3183.18,Sell
,SMA (20),3286.75,Sell
,EMA (20),3241.81,Sell
,SMA (50),3277.86,Sell
,EMA (50),3258.23,Sell
,SMA (100),3191.68,Sell
,EMA (100),3249.57,Sell
,SMA (200),3323.92,Sell
,EMA (200),3249.36,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),29.79,Buy
,"MACD (12,26,9)",-57.27,Sell
,"Stochastic (14,3,3)",10.95,Buy
,ADX (14),35.31,Buy
,Williams %R (14),-89.99,Buy
,ATR (14),64.39,Neutral
,ROC (12),-8.57,Sell
,Stoch RSI (14),0,Buy
,"UO (7,14,28)",49.79,Neutral
