Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,2708,2607,2422,2868,3061,3199,3079,3570,3697,3567,3443,4031
Expenses,2025,2000,1836,2196,2214,2383,2396,2724,2776,2648,2513,2974
Operating Profit,683,606,586,672,847,816,683,847,921,919,930,1056
OPM %,25,23,24,23,28,26,22,24,25,26,27,26
Other Income,63,75,94,108,109,87,249,83,94,-31,94,49
Interest,9,9,9,11,7,221,191,171,170,157,142,110
Depreciation,96,110,100,103,100,187,231,219,222,223,223,226
Profit before tax,641,562,572,666,849,495,511,540,624,509,659,769
Tax %,20,18,17,18,22,22,17,18,17,19,15,25
Net Profit,511,460,477,543,659,385,425,445,520,414,559,574
EPS in Rs,12.51,11.33,11.76,13.39,16.31,9.22,10.2,10.62,12.39,9.9,13.43,13.75
Item,Mar 2015,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,
---,---,---,---,---,---,---,---,---,---,,,
Sales,3334,5865,6214,7782,8749,10260,12207,14278,14738,,,
Expenses,2748,4427,4565,5791,6848,7743,9182,10653,10911,,,
Operating Profit,586,1438,1649,1991,1902,2517,3026,3625,3827,,,
OPM %,18,25,27,26,22,25,25,25,26,,,
Other Income,76,122,183,210,141,295,548,238,207,,,
Interest,2,23,21,60,46,34,432,644,579,,,
Depreciation,39,99,119,167,326,378,621,886,893,,,
Profit before tax,621,1438,1692,1975,1671,2399,2521,2333,2562,,,
Tax %,29,27,24,26,22,19,20,17,—,,,
Net Profit,445,1056,1293,1453,1310,1942,2011,1938,2068,,,
EPS in Rs,219.33,25.72,31.59,35.78,32,47.75,48.26,46.34,49.47,,,
Dividend Payout %,0,0,24,0,0,0,0,2,—,,,
Item,Mar 2015,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Equity Capital,20,40,40,40,40,40,41,41,,,,
Reserves,2035,3445,4682,6115,7395,9323,14291,16259,,,,
Borrowings,0,131,241,873,170,207,8511,6312,,,,
Other Liabilities,968,1449,1397,2080,2080,2313,4808,5143,,,,
Total Liabilities,3022,5065,6360,9108,9686,11883,27652,27755,,,,
Fixed Assets,316,1600,1664,3588,4251,4545,19005,18620,,,,
CWIP,47,317,372,701,550,282,826,1128,,,,
Investments,959,829,1512,1109,1346,2568,2042,1985,,,,
Other Assets,1700,2319,2811,3709,3538,4488,5780,6022,,,,
Total Assets,3022,5065,6360,9108,9686,11883,27652,27755,,,,
Item,Mar 2015,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Cash from Operating Activity,—,1070,1137,920,1813,2152,2413,3121,,,,
Cash from Investing Activity,—,-436,-1222,-1369,-1052,-2081,-12624,-181,,,,
Cash from Financing Activity,—,-531,-8,605,-740,5,10233,-2953,,,,
Net Cash Flow,—,103,-92,156,22,77,22,-12,,,,
Free Cash Flow,—,853,826,-1423,987,1771,1895,2387,,,,
CFO/OP,—,97,96,71,112,103,98,102,,,,
Item,Mar 2015,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Debtor Days,22,33,19,18,24,30,46,44,,,,
Inventory Days,166,175,243,265,188,180,219,193,,,,
Days Payable,71,145,137,162,126,90,119,121,,,,
Cash Conversion Cycle,117,63,125,121,86,120,146,117,,,,
Working Capital Days,56,30,32,24,39,53,-28,-40,,,,
ROCE %,—,—,37,32,22,26,17,14,,,,
