Item,Date,Document
,2026-08-31,[Announcement under Regulation 30 (LODR)-Press Release / Media Release](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=531dee96-9444-4b47-82a8-2ffc30c78a83.pdf)
,2026-08-11,[Shareholder Meeting / Postal Ballot-Outcome of AGM](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c56a3bfe-8c7b-49be-9621-f881b913d336.pdf)
,2026-08-11,[Shareholder Meeting / Postal Ballot-Scrutinizers Report](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=36e11078-39cd-449f-9338-945be0e09982.pdf)
,2026-08-06,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2195460d-fb16-46b3-88e5-4292300463e1.pdf)
,2026-08-04,[Board Meeting Outcome for Outcome Of Board Meeting Dated 04 August 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a4934f4f-a447-494a-a042-f936f7dceab4.pdf)
,2026-08-04,[Announcement under Regulation 30 (LODR)-Press Release / Media Release](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7321bcfd-edb9-44f4-9f51-abc3238e61f5.pdf)
,2026-08-04,[Confirmation Of Appointment On The Board Of Mappls DT Private Limited Material Wholly Owned Subsidiary](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a2bd0ddd-8281-489b-8344-7ddec5c137bf.pdf)
,2026-07-28,[Board Meeting Intimation for Intimation Of Board Meeting](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=10cc8ef5-6e45-4665-a360-c51dd8d33705.pdf)
,2026-07-19,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=13cbb997-e123-4fb6-95d8-d938fa8e4cb1.pdf)
,2026-07-18,[Intimation Of 31St AGM](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8dd7b3be-9c70-4242-a975-4dd4b874c3b7.pdf)
,Date,Document
,---,---
,2026-08-08,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=84db9d26-850f-4e04-9a1b-a630d3ca8155.pdf)
,2026-05-25,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4a5d9bd4-c31c-4c6b-86db-a27414507a5c.pdf)
,2026-02-19,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f758b4ec-cc89-4b06-a274-50acba5fb7c8.pdf)
,2025-11-14,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4fa0e6fe-9d3b-4e42-8ab5-908b926bc9f4.pdf)
,2025-08-09,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=50867320-13e1-4721-8a69-f245dd70cb57.pdf)
,2025-05-29,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=300e3e46-0ec1-42e9-a2e0-1e6446b00398.pdf)
,2025-02-04,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=240d2c07-93be-4201-b54d-9af76df554b3.pdf)
,2024-11-13,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=837a1c2d-30d8-4f2f-b83f-e8da473d4bc3.pdf)
,2024-08-14,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=083b3099-4f9d-4877-83db-ff3ec69042db.pdf)
