Item,Date,Document
,9h - CCI matter hearing adjourned from 11 May 2026 to 25 May 2026 for arguments.,"[Intimation Under Regulation 30 Of The SEBI (LODR) Regulations, 2015 9h - CCI matter hearing adjourned from 11 May 2026 to 25 May 2026 for arguments.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/595c67b5-8ec7-43d7-9d0d-7661c31b9f0a.pdf)"
,9h - CCI hearing concluded for Maruti Suzuki; matter adjourned to 11 May 2026.,"[Intimation Under Regulation 30 Of The SEBI (LODR) Regulations, 2015 9h - CCI hearing concluded for Maruti Suzuki; matter adjourned to 11 May 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/768cfb80-2323-46bf-9e06-1f5260d6b2b1.pdf)"
,31 Mar - Haryana GST adjudication: Rs.384.17mn tax demand plus equal Rs.384.17mn penalty for April 2019–March 2024; company will appeal.,"[Intimation Under Regulation 30 Of SEBI (LODR) Regulations, 2015 31 Mar - Haryana GST adjudication: Rs.384.17mn tax demand plus equal Rs.384.17mn penalty for April 2019–March 2024; company will appeal.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/33725461-99b9-47e1-ad04-2a4c9b207b26.pdf)"
,28 Apr - Audio recording of 28 April 2026 investor call on FY2026 results uploaded.,[Audio Recording 28 Apr - Audio recording of 28 April 2026 investor call on FY2026 results uploaded.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/105a1fca-04ec-4352-a72b-263c97502e5f.pdf)
,28 Apr - Audio recording of 28 April 2026 investor call on FY2026 results uploaded.,[Audio Recording 28 Apr - Audio recording of 28 April 2026 investor call on FY2026 results uploaded.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/105a1fca-04ec-4352-a72b-263c97502e5f.pdf)
,27 Mar - Trading window closed from 1 April 2026 until 48 hours after FY2025-26 annual results announcement.,[Closure of Trading Window 27 Mar - Trading window closed from 1 April 2026 until 48 hours after FY2025-26 annual results announcement.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/f10381d4-ec7f-486e-8cf6-c8f780517614.pdf)
,"27 Feb - Maruti Suzuki NCLAT hearing on CCI order; arguments part heard, adjourned to 25 March 2026.","[Intimation Under Regulation 30 Of The SEBI (LODR) Regulations, 2015 27 Feb - Maruti Suzuki NCLAT hearing on CCI order; arguments part heard, adjourned to 25 March 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/484ce514-694f-4dab-8a6f-1648a026764b.pdf)"
,"25 Mar - NCLAT hearing on CCI order continued March 25, 2026; adjourned to April 24, 2026.","[Intimation Under Regulation 30 Of The SEBI (LODR) Regulations, 2015 25 Mar - NCLAT hearing on CCI order continued March 25, 2026; adjourned to April 24, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/321e6b38-a391-47ea-8f55-f1fb95cd9d5e.pdf)"
,"24 Mar - MSIL senior management reshuffle: Akella, Babu reassigned; Gautam superannuates; effective 1 April 2026.","[Announcement under Regulation 30 (LODR)-Change in Management 24 Mar - MSIL senior management reshuffle: Akella, Babu reassigned; Gautam superannuates; effective 1 April 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/187443d6-f46f-4f27-927a-395f7a794dc8.pdf)"
,"24 Mar - First phase: 250,000 vehicles pa; INR 10,189 Crore investment; by 2029; internal accruals financing and growth rationale included.","[Capacity Addition 24 Mar - First phase: 250,000 vehicles pa; INR 10,189 Crore investment; by 2029; internal accruals financing and growth rationale included.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/a6d3ce1e-f88d-4eff-bff9-b632cf1444e7.pdf)"
,Date,Document
,---,---
,2026-09-07,[Advance Intimation Regarding Price Increase](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7a648e89-1d26-4adc-adfa-aeb4bc23090c.pdf)
,2026-09-05,[Announcement under Regulation 30 (LODR)-Press Release / Media Release](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f4211e6c-ab16-4270-b643-558cab657ac5.pdf)
,2026-09-05,[Corrigendum](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1cf94214-0993-4872-ab71-9b4cf76dd0c3.pdf)
,2026-09-02,[Shareholder Meeting / Postal Ballot-Scrutinizers Report](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0d45f23c-5c1c-4aea-af6f-9d9208ae5a2f.pdf)
,2026-09-02,[Announcement under Regulation 30 (LODR)-Press Release / Media Release](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cd86509e-a2a7-4ee1-b763-a8e0148e3ef2.pdf)
,2026-09-01,[Announcement under Regulation 30 (LODR)-Press Release / Media Release](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a756326b-a590-45df-a275-1651ef52d939.pdf)
,2026-09-01,[Maruti Suzuki Production Volume: August 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=03ddb22e-47f6-4fc4-b955-de39681a5327.pdf)
,2026-08-31,[Shareholder Meeting / Postal Ballot-Outcome of AGM](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=93ade7b0-d0fd-4516-964a-2ca69bfcf277.pdf)
,2026-08-14,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c704976f-2679-4588-8016-9797b3959948.pdf)
,2026-08-09,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5e2e999d-23c9-46d9-a82b-38f26de04ae2.pdf)
,Date,Document
,---,---
,2026-08-06,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e5ed553b-9881-4cd9-a131-370360446a83.pdf)
,2026-05-04,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cb094054-0db2-49ed-b602-b4872110fc68.pdf)
,2026-02-02,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1d7965cf-ea8d-4a59-b2d1-30d9c0c4969f.pdf)
,2025-11-03,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=55f7cee9-19ee-40fb-9041-6445ea307574.pdf)
,2025-08-06,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=52a4a2af-bc3c-4598-8c7d-0732fcbea876.pdf)
,2025-05-01,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fcd33029-a973-4fb2-beb0-6d7c96215eb9.pdf)
,2025-02-04,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c344a56f-6f41-400a-b86f-3caadf8d6f5c.pdf)
,2024-11-05,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=851557d5-d151-484d-9dfc-33b356e45e4b.pdf)
,2024-08-06,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d9edfffd-78a6-4a67-916f-77a9dff5ee2f.pdf)
,2024-05-03,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2ba1aa47-f970-48d2-982d-923399e772d9.pdf)
,Date,Document
,---,---
,2026-07-31,[Un-Audited Financial Results For The Quarter Ended On 30Th June 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f940c992-b7af-4b96-82cd-07efd0cf4234.pdf)
,2026-04-28,[Audited Financial Results For The Year Ended On 31St March 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ecc5cfe0-0a90-4d41-927e-b1b6030446e1.pdf)
,2026-01-28,[Un-Audited Financial Results For The Quarter Ended On 31St December 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cd54e326-e4bd-454e-adcd-839f00e1841e.pdf)
