Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1363,1335,1423,1543,1707,1868,1910,2028,2135,2068,2143,2366
Expenses,976,949,1041,1156,1257,1369,1398,1505,1560,1529,1536,1768
Operating Profit,387,386,382,387,451,499,512,523,575,538,606,598
OPM %,28,29,27,25,26,27,27,26,27,26,28,25
Other Income,45,46,45,35,41,-40,47,37,33,-3,48,41
Interest,9,11,21,24,34,52,55,55,54,60,67,71
Depreciation,58,61,70,77,84,98,101,104,108,111,123,132
Profit before tax,366,360,336,321,374,309,402,400,446,365,465,436
Tax %,24,20,25,26,25,23,21,23,-10,17,26,26
Net Profit,277,289,252,236,282,239,319,308,491,301,342,323
EPS in Rs,2.85,2.98,2.59,2.43,2.9,2.46,3.28,3.17,5.05,3.09,3.52,3.32
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,1729,1691,1059,2508,3937,4563,5406,7028,8373,8712,,
Expenses,1616,1535,965,2101,2986,3322,3913,5180,6131,6394,,
Operating Profit,113,156,94,407,951,1241,1493,1849,2243,2318,,
OPM %,7,9,9,16,24,27,28,26,27,27,,
Other Income,65,56,48,-122,110,139,177,82,114,118,,
Interest,99,101,83,179,101,84,60,165,235,251,,
Depreciation,94,103,46,174,221,232,245,359,447,474,,
Profit before tax,-15,8,13,-69,739,1064,1365,1406,1676,1711,,
Tax %,65,102,-1,67,18,-4,23,24,14,—,,
Net Profit,-25,0,59,-138,605,1104,1058,1076,1442,1457,,
EPS in Rs,-0.47,-0.06,1.1,-1.42,6.24,11.37,10.88,11.07,14.82,14.98,,
Dividend Payout %,0,0,0,0,0,9,14,14,13,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,537,537,537,537,966,970,971,972,972,973,,
Reserves,655,627,426,2016,4673,5313,6439,7436,8409,9774,,
Borrowings,874,981,1003,875,1101,913,689,1299,3010,3478,,
Other Liabilities,1080,1157,1389,546,1803,1993,2003,2293,2795,2959,,
Total Liabilities,3146,3302,3355,3974,8543,9189,10102,12000,15186,17184,,
Fixed Assets,2244,2227,2192,851,6536,7018,7039,8784,11502,12991,,
CWIP,46,38,87,28,27,151,252,553,901,593,,
Investments,0,0,1,2182,1,1,1,2,3,5,,
Other Assets,856,1036,1075,913,1980,2020,2810,2661,2781,3595,,
Total Assets,3146,3302,3355,3974,8543,9189,10102,12000,15186,17184,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,156,166,89,77,118,741,1209,1122,1438,1633,,
Cash from Investing Activity,-104,-124,-17,-2641,206,-764,-1187,-1253,-1593,-1688,,
Cash from Financing Activity,-48,-48,-74,2353,191,-294,-289,-264,-163,59,,
Net Cash Flow,4,-6,-2,-210,516,-317,-266,-395,-318,4,,
Free Cash Flow,41,100,-27,-13,1,192,877,342,500,165,,
CFO/OP,135,166,75,89,15,89,110,93,95,89,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,53,59,78,33,53,36,27,31,36,42,,
Inventory Days,20,24,26,43,34,24,30,26,26,23,,
Days Payable,184,227,292,286,274,174,212,207,198,175,,
Cash Conversion Cycle,-111,-144,-188,-210,-187,-114,-155,-149,-136,-110,,
Working Capital Days,-12,-24,-152,-137,-44,-24,-46,-43,-46,-41,,
ROCE %,—,4,6,4,7,12,15,16,15,15,,
