Item,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,2679,2400,2504,3074,3518,3531,3713
Expenses,2809,2631,2768,3530,4056,3786,3937
Operating Profit,-131,-231,-264,-456,-539,-255,-225
OPM %,-4.9,-10,-11,-15,-15,-7,-6
Other Income,160,-1158,34,136,75,116,114
Interest,2,1,1,1,4,2,2
Depreciation,12,5,8,9,11,19,20
Profit before tax,15,-1395,-240,-330,-479,-160,-133
Tax %,342,0,21,24,3,4,0
Net Profit,-37,-1391,-289,-411,-491,-166,-133
EPS in Rs,-4.44,-159.79,-1.49,-2.11,-1.09,-0.36,-0.29
Item,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,,
Sales,5735,7615,9390,12626,13835,,
Expenses,7533,8109,9968,14111,15310,,
Operating Profit,-1799,-494,-578,-1485,-1475,,
OPM %,-31,-6,-6,-12,-11,,
Other Income,155,231,-835,332,441,,
Interest,1,6,7,9,10,,
Depreciation,30,58,34,47,58,,
Profit before tax,-1675,-328,-1455,-1209,-1102,,
Tax %,0,0,171,12,—,,
Net Profit,-1675,-328,-3942,-1358,-1201,,
EPS in Rs,-213.79,-41.82,-452.68,-2.97,-3.85,,
Dividend Payout %,0,0,0,0,—,,
Item,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,,,
Equity Capital,8,0,0.27,456,,,
Reserves,2169,2230,1445,3930,,,
Borrowings,0,72,58,63,,,
Other Liabilities,1376,1859,5722,3458,,,
Total Liabilities,3553,4161,7226,7907,,,
Fixed Assets,56,112,96,195,,,
CWIP,2,0,0,0,,,
Investments,2053,744,4983,1210,,,
Other Assets,1442,3305,2147,6502,,,
Total Assets,3553,4161,7226,7907,,,
Item,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,,,
Cash from Operating Activity,-2303,220,539,-3875,,,
Cash from Investing Activity,-1289,-165,-2638,247,,,
Cash from Financing Activity,3263,-11,2105,4101,,,
Net Cash Flow,-328,44,7,473,,,
Free Cash Flow,-2303,186,516,-3976,,,
CFO/OP,128,-47,-100,74,,,
Item,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,,,
Debtor Days,0,0,0,0,,,
Cash Conversion Cycle,0,0,0,0,,,
Working Capital Days,-59,20,-167,-27,,,
ROCE %,—,-15,-9,-40,,,
