Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,10165,12356,14888,11799,13372,8923,12376,12822,9792,14259,10802,14970
Expenses,10021,12146,14945,11608,13199,8834,12356,12703,9771,14181,10808,14803
Operating Profit,144,209,-57,190,173,89,20,119,21,78,-6,167
OPM %,1.4,1.7,-0.4,1.6,1.3,1,0.2,0.9,0.2,0.6,-0.1,1.1
Other Income,25,4,10,1,2,3,18,3,7,9,5,7
Interest,9,14,11,9,13,10,15,20,21,36,35,36
Depreciation,1,1,1,1,1,1,1,1,1,1,0,0
Profit before tax,158,198,-59,182,162,81,22,101,6,50,-36,138
Tax %,-8,14,-15,14,14,14,-73,14,6,11,-13,14
Net Profit,170,171,-50,156,139,70,38,86,6,45,-32,118
EPS in Rs,4.29,4.3,-1.28,3.69,3.26,1.62,0.91,2.02,0.12,1.06,-0.76,2.77
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,16338,19510,18240,31275,31182,31415,46576,46469,47674,49822,,
Expenses,15807,19003,17788,30689,30769,30862,46150,45994,47462,49562,,
Operating Profit,531,507,452,585,413,554,426,476,212,260,,
OPM %,3.2,2.6,2.5,1.9,1.3,1.8,0.9,1,0.4,0.5,,
Other Income,1,3,2,13,6,16,36,21,23,28,,
Interest,0,27,0,0,25,37,44,47,112,128,,
Depreciation,2,2,11,5,5,5,3,3,2,2,,
Profit before tax,530,481,442,593,389,527,415,447,121,158,,
Tax %,17,13,38,6,18,14,5,10,13,—,,
Net Profit,442,416,273,560,318,452,393,403,106,137,,
EPS in Rs,10.67,9.75,5.38,12.33,7.34,10.97,9.85,9.48,2.43,3.19,,
Dividend Payout %,0,0,0,0,0,0,0,0,0,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,53,54,54,54,69,69,69,69,69,69,,
Reserves,2281,1766,2005,2093,3274,3866,3450,3797,5206,5213,,
Borrowings,0,0,0,3,3,522,523,523,1026,1859,,
Other Liabilities,44405,54022,65097,72377,94710,113291,127783,158383,183879,191795,,
Total Liabilities,46739,55842,67156,74526,98057,117747,131824,162771,190180,198936,,
Fixed Assets,740,556,556,641,639,616,614,612,610,607,,
CWIP,3,0,0,0,0,0,0,0,0,0,,
Investments,44059,52683,63245,68566,91766,109794,123355,152959,179841,186014,,
Other Assets,1938,2602,3356,5320,5652,7337,7854,9201,9729,12314,,
Total Assets,46739,55842,67156,74526,98057,117747,131824,162771,190180,198936,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,6526,7534,8826,5452,6892,8496,9922,6104,8352,11473,,
Cash from Investing Activity,-6290,-6951,-8789,-4991,-6852,-8835,-11555,-5001,-9703,-11125,,
Cash from Financing Activity,-215,-116,-174,-383,-92,388,-233,-117,1961,567,,
Net Cash Flow,20,466,-137,78,-51,48,-1866,986,610,915,,
Free Cash Flow,6447,7485,8728,5329,6810,8369,9750,5883,8136,11235,,
CFO/OP,860,1435,1754,1219,1202,2076,1809,1436,1757,5438,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,13,0,0,0,0,0,0,0,0,0,,
Inventory Days,—,—,—,—,—,—,—,—,—,—,,
Days Payable,—,—,—,—,—,—,—,—,—,—,,
Cash Conversion Cycle,13,0,0,0,0,0,0,0,0,0,,
Working Capital Days,-93,-1158,-1149,-1338,-1042,-1241,-1402,-1172,-1368,-1382,,
ROCE %,25,19,19,16,18,10,12,10,8,3,,
