Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,-210,1,1,1,2,0,0,1,1,0,1,1
Expenses,-180,37,33,51,32,31,27,24,23,23,114,21
Operating Profit,-30,-36,-33,-51,-30,-31,-27,-23,-22,-23,-113,-20
OPM %,—,-4982,-5123,-7788,-1938,-12224,-12971,-1699,-2005,-6768,-18605,-2969
Other Income,86,95,103,95,81,39,48,78,453,70,226,156
Interest,1,-1,0,0,0,1,5,0,0,0,0,0
Depreciation,1,1,1,1,1,1,1,1,1,1,2,1
Profit before tax,54,59,69,43,49,7,14,53,430,46,110,135
Tax %,3,6,-1,25,3,49,85,17,60,-1,-15,23
Net Profit,52,56,70,33,48,4,2,44,171,46,126,104
EPS in Rs,0.35,0.37,0.47,0.22,0.32,0.02,0.01,0.3,1.14,0.31,0.84,0.69
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,16450,29439,26304,30000,11795,3527,3,1,2,3,,
Expenses,16428,29256,26436,30045,11338,3634,165,139,184,181,,
Operating Profit,23,183,-132,-45,457,-107,-162,-138,-181,-179,,
OPM %,0.1,0.6,-0.5,-0.1,3.9,-3,-4800,-11820,-8520,-6547,,
Other Income,49,36,-8,-859,-126,2000,368,258,826,904,,
Interest,18,68,144,203,225,122,1,1,1,1,,
Depreciation,5,6,6,6,5,5,4,5,5,5,,
Profit before tax,48,146,-291,-1112,101,1766,200,114,639,720,,
Tax %,21,25,0,-29,355,12,4,24,39,—,,
Net Profit,38,109,-292,-789,-258,1562,192,87,387,447,,
EPS in Rs,0.25,0.72,-1.94,-5.26,-1.72,10.42,1.28,0.58,2.58,2.98,,
Dividend Payout %,80,41,0,0,0,0,0,0,0,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,100,100,150,150,150,150,150,150,150,150,,
Reserves,1101,1103,1119,733,-50,-298,1262,1476,1552,1971,,
Borrowings,440,519,961,3850,2422,2626,203,159,2,2,,
Other Liabilities,4207,3450,2150,1677,2952,2306,2064,1902,1774,673,,
Total Liabilities,5848,5172,4380,6410,5474,4783,3678,3687,3478,2796,,
Fixed Assets,57,52,49,49,42,38,34,29,24,19,,
CWIP,0,0,0,0,0,0,0,0,0,0,,
Investments,247,128,147,80,82,102,127,276,328,533,,
Other Assets,5544,4992,4184,6282,5350,4643,3517,3382,3126,2244,,
Total Assets,5848,5172,4380,6410,5474,4783,3678,3687,3478,2796,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,273,-455,-367,-2588,1704,0,754,-353,-367,-605,,
Cash from Investing Activity,-68,117,9,-58,11,3,1959,198,278,579,,
Cash from Financing Activity,110,26,339,2689,-1634,-5,-2547,-43,-1,-1,,
Net Cash Flow,315,-312,-19,42,80,-3,166,-198,-90,-27,,
Free Cash Flow,271,-456,-369,-2594,1706,-2,754,-353,-367,-605,,
CFO/OP,-287,-1973,-186,1943,-3748,0,-873,221,249,288,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,16,8,5,28,10,12,42,42537,37136,4120,,
Inventory Days,78,41,4,3,1,1,0,164,—,0,,
Days Payable,23,25,15,10,13,18,37,153948,—,—,,
Cash Conversion Cycle,71,23,-6,22,-2,-5,5,-111246,37136,4120,,
Working Capital Days,3,16,10,6,-10,-23,-28,-21522,-53664,-40983,,
ROCE %,-5,4,11,-3,-1,19,23,9,8,9,,
