Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1655,1791,2154,2314,2841,1993,1190,2737,1849,2112,2676,3426
Expenses,740,703,916,926,1025,932,910,1018,1009,1006,2471,1456
Operating Profit,915,1089,1238,1388,1816,1061,280,1720,840,1105,205,1970
OPM %,55,61,57,60,64,53,24,63,45,52,8,57
Other Income,1,6,18,19,15,26,18,7,11,8,16,6
Interest,241,262,302,327,354,319,298,295,317,336,388,414
Depreciation,17,24,24,22,23,27,26,26,28,29,28,28
Profit before tax,658,809,930,1059,1454,741,-27,1406,506,748,-194,1534
Tax %,19,18,22,17,23,24,137,18,28,24,13,17
Net Profit,532,661,725,884,1122,566,-63,1163,363,566,-219,1274
EPS in Rs,8.96,11.11,12.13,14.77,18.71,9.42,-1.08,19.38,6.04,9.42,-3.68,21.14
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,2751,2450,2358,3626,4298,4178,7069,8340,9381,10063,,
Expenses,1357,1543,1546,1610,2178,2301,3002,3794,5504,5943,,
Operating Profit,1394,907,812,2016,2120,1877,4067,4546,3877,4120,,
OPM %,51,37,34,56,49,45,58,55,41,41,,
Other Income,1,12,8,-80,22,19,61,78,42,42,,
Interest,528,517,494,430,478,596,1014,1298,1336,1456,,
Depreciation,37,24,40,48,48,58,83,99,111,112,,
Profit before tax,829,378,285,1458,1616,1242,3032,3226,2472,2593,,
Tax %,25,25,24,18,19,25,19,22,24,—,,
Net Profit,632,298,190,1265,1312,935,2446,2508,1872,1983,,
EPS in Rs,10.72,5.04,3.1,21.49,21.97,15.74,40.96,41.74,31.06,32.92,,
Dividend Payout %,20,42,32,12,11,16,9,12,19,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,14,15,15,15,15,15,15,15,60,60,,
Reserves,1772,2871,3039,3071,4447,5659,6237,8717,11019,12828,,
Borrowings,5067,5323,5158,4627,5693,6152,10278,13787,14732,21255,,
Other Liabilities,1586,2202,2149,2370,3887,5033,6419,9252,8106,9258,,
Total Liabilities,8439,10411,10360,10084,14041,16860,22949,31771,33916,43401,,
Fixed Assets,294,300,302,333,350,357,466,603,754,769,,
CWIP,0,0,0,0,0,0,0,0,115,115,,
Investments,1767,2807,2686,3088,3922,4685,4787,6501,8851,10299,,
Other Assets,6378,7304,7372,6662,9769,11818,17696,24667,24197,32218,,
Total Assets,8439,10411,10360,10084,14041,16860,22949,31771,33916,43401,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,-1980,248,195,952,-139,1011,-3058,-350,1215,-6071,,
Cash from Investing Activity,-314,-157,14,-353,-273,-447,-274,-247,-1077,-958,,
Cash from Financing Activity,2420,-98,-141,-129,861,282,3770,3306,745,6154,,
Net Cash Flow,125,-7,68,470,449,845,439,2709,882,-875,,
Free Cash Flow,-2032,207,168,882,-199,956,-3212,-495,930,-6160,,
CFO/OP,-183,31,41,137,0,58,-148,2,39,-139,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,239,138,226,115,92,85,90,99,105,158,,
Inventory Days,—,—,—,—,—,—,—,—,—,0,,
Cash Conversion Cycle,239,138,226,115,92,85,90,99,105,158,,
Working Capital Days,-209,-241,-103,-189,-206,-279,-402,-329,-191,-147,,
ROCE %,18,18,11,10,22,19,13,21,19,13,,
