Item,Indicator,Value,Signal
,SMA (10),36.69,Sell
,EMA (10),36.84,Sell
,SMA (20),37.61,Sell
,EMA (20),37.56,Sell
,SMA (50),39.4,Sell
,EMA (50),38.67,Sell
,SMA (100),39.44,Sell
,EMA (100),39.46,Sell
,SMA (200),41.34,Sell
,EMA (200),40.14,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),34.42,Neutral
,"MACD (12,26,9)",-0.92,Sell
,"Stochastic (14,3,3)",12.49,Buy
,ADX (14),37.76,Buy
,Williams %R (14),-86.34,Buy
,ATR (14),0.85,Neutral
,ROC (12),-3.64,Sell
,Stoch RSI (14),72.3,Neutral
,"UO (7,14,28)",48.45,Neutral
