Item,Date,Document
,2026-09-09,[Announcement under Regulation 30 (LODR)-Acquisition](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=72b7fc26-8ffe-4089-8104-824545e72f41.pdf)
,2026-09-02,[Announcement under Regulation 30 (LODR)-Change in Management](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=94f291c2-daee-4d39-8507-4950dc35a0b8.pdf)
,2026-08-31,[Board Meeting Outcome for Outcome Of Board Meeting Held On August 31 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f43768f0-5b60-4299-82a9-6339426f6001.pdf)
,2026-08-31,[Shareholder Meeting / Postal Ballot-Outcome of AGM](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fd002859-e48b-4366-bd43-068e4ce0c8e2.pdf)
,2026-08-18,[Closure of Trading Window](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=eceebfe0-aae8-4dca-8dc3-0e8ffca43d8b.pdf)
,2026-08-11,[Intimation Under Regulation 30](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a1b372d5-76de-4fe7-9692-ba9c9589eeaa.pdf)
,2026-08-08,[Book Closure For Annual General Meeting](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=803f345a-fddb-4843-9fd8-8b1f35fd21f3.pdf)
,2026-08-08,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8d326143-0660-4b87-9785-0b556aca78df.pdf)
,2026-08-07,[Shareholders Meeting - AGM On 31 August 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=408b7b69-93ea-4ab7-88c5-82480570ca59.pdf)
,2026-08-07,[Notice Of Annual General Meeting](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=30986788-4258-409f-bf24-966fb33dcc87.pdf)
,Date,Document
,---,---
,Nov 2025,[Concall - Nov 2025](https://www.bseindia.com/xml-data/corpfiling/AttachHis/e2bd480e-07d0-49d9-8948-660a89efcc48.pdf)
,Nov 2024,[Concall - Nov 2024](https://www.bseindia.com/xml-data/corpfiling/AttachHis/88aa3134-74ef-44b8-a141-bc96d7b2fe3b.pdf)
,Nov 2022,[Concall - Nov 2022](https://www.bseindia.com/xml-data/corpfiling/AttachHis/7d4eccb2-1dfc-4c99-be8d-0574843f8b67.pdf)
,Nov 2021,[Concall - Nov 2021](https://www.bseindia.com/xml-data/corpfiling/AttachHis/6a6a6508-d206-4369-9200-0261fb22028b.pdf)
,May 2026,[Concall - May 2026](https://www.bseindia.com/xml-data/corpfiling/AttachHis/ce354a9d-c348-4f4a-bc26-bb5d9a158d87.pdf)
,May 2026,[Concall - May 2026](https://www.bseindia.com/xml-data/corpfiling/AttachLive/ce354a9d-c348-4f4a-bc26-bb5d9a158d87.pdf)
,May 2026,[Concall - May 2026](https://www.bseindia.com/xml-data/corpfiling/AttachHis/e7d82d2f-9c87-488d-95d1-057cdca18ef6.pdf)
,May 2026,[Concall - May 2026](https://www.bseindia.com/xml-data/corpfiling/AttachLive/e7d82d2f-9c87-488d-95d1-057cdca18ef6.pdf)
,May 2025,[Concall - May 2025](https://www.bseindia.com/xml-data/corpfiling/AttachHis/ebd88182-b14a-4be2-b76a-24756a6b75d2.pdf)
,May 2022,[Concall - May 2022](https://www.bseindia.com/xml-data/corpfiling/AttachHis/34356fce-8bf8-4cd5-91d3-07d4954dcfe0.pdf)
,Date,Document
,---,---
,2026-08-01,[Financial Result For The Quarter Ended June 30 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d9350724-8a77-4282-9b84-6e77f946c363.pdf)
,2026-02-12,[Outcome Of The Board Meeting - Financial Results](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=74a51762-0234-46d6-8aca-cc3d62ed50f0.pdf)
,2025-08-13,[Financial Results For The Quarter Ended June 30 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8518f9ca-aab7-43c2-9d6d-42cda3756b7e.pdf)
,2025-05-14,[Financial Results](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f16997c3-7b5c-4217-863b-1d25aed6ee87.pdf)
,2025-02-12,[Unaudited Financial Results For The Quarter And Nine Months Ended December 31 2024](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c4f6bad1-eb92-4a3e-aec3-feeb309a9241.pdf)
,2024-11-14,[Results- Financial Results](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cb78a054-892c-418a-a252-8768ccdbfcca.pdf)
,2024-08-14,"[Unaudited Standalone And Consolidated Financial Results For The Quarter Ended June 30, 2024](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4851854a-3099-4fa6-b9c4-603e2a35942b.pdf)"
,2024-08-13,"[Outcome For The Board Meeting Dated August 13, 2024](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3808bf7a-2700-4b83-8c5a-d1ed782727c2.pdf)"
,2024-05-30,[Audited Financial Results For Quarter And Year Ended 31 March 2024](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5008fbe6-5e80-4246-8ae7-2f40b4a9e476.pdf)
,2024-02-14,"[Results-Unaudited Financial Results For The Quarter And Nine Months Ended December 31, 2023](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=87521692-ade6-473b-894a-3879d6c1f1ff.pdf)"
,Date,Document
,---,---
,2026-08-01,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c5fac5ae-eb49-4dcb-8f38-18029ade83b8.pdf)
,2026-05-14,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e7d82d2f-9c87-488d-95d1-057cdca18ef6.pdf)
