Item,Indicator,Value,Signal
,SMA (10),2888.94,Sell
,EMA (10),2888.34,Sell
,SMA (20),2965.79,Sell
,EMA (20),2928.96,Sell
,SMA (50),2981.18,Sell
,EMA (50),2991.14,Sell
,SMA (100),3121.98,Sell
,EMA (100),3091.97,Sell
,SMA (200),3374.81,Sell
,EMA (200),3128.13,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),37.21,Neutral
,"MACD (12,26,9)",-41.91,Sell
,"Stochastic (14,3,3)",8.91,Buy
,ADX (14),19.85,Neutral
,Williams %R (14),-87.74,Buy
,ATR (14),83.58,Neutral
,ROC (12),-12.93,Sell
,Stoch RSI (14),0,Buy
,"UO (7,14,28)",34.74,Neutral
