Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,397,423,468,505,571,588,567,607,658,705,739,767
Expenses,156,164,178,189,197,202,201,218,229,235,232,259
Operating Profit,241,259,291,316,374,386,365,388,430,470,507,508
OPM %,61,61,62,63,66,66,64,64,65,67,69,66
Other Income,78,107,92,131,121,15,23,146,37,75,-34,170
Interest,2,2,2,2,2,2,2,2,2,2,2,2
Depreciation,7,7,7,7,7,8,9,8,9,11,12,12
Profit before tax,310,358,374,439,486,392,378,524,456,533,460,664
Tax %,21,21,8,24,26,25,21,24,24,24,16,24
Net Profit,244,284,343,332,360,295,299,396,345,404,385,504
EPS in Rs,3.91,4.53,5.44,5.26,5.69,4.66,4.7,6.23,5.41,6.34,6.03,7.88
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,1735,1647,1192,1419,1533,1512,2036,2518,2924,2869,,
Expenses,1082,940,594,505,516,555,649,789,914,954,,
Operating Profit,653,707,598,914,1017,957,1386,1729,2010,1915,,
OPM %,38,43,50,64,66,63,68,69,69,67,,
Other Income,14,3,1,1,2,5,2,3,9,249,,
Interest,2,0,6,4,4,4,6,7,7,7,,
Depreciation,9,10,33,33,27,30,29,31,40,44,,
Profit before tax,656,700,560,877,989,928,1352,1694,1972,2113,,
Tax %,30,30,26,23,25,22,18,24,23,—,,
Net Profit,457,487,415,680,744,723,1107,1286,1529,1637,,
EPS in Rs,7.45,7.94,6.78,11.04,11.96,11.61,17.58,20.27,23.97,25.66,,
Dividend Payout %,81,76,74,72,92,99,94,89,90,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,12,612,612,612,616,622,623,630,635,638,,
Reserves,1831,1753,1958,1981,2484,2857,2892,3352,3578,4021,,
Borrowings,30,0,0,0,0,0,0,79,88,75,,
Other Liabilities,179,357,206,288,291,318,345,314,369,458,,
Total Liabilities,2051,2722,2776,2881,3392,3797,3861,4375,4670,5192,,
Fixed Assets,251,258,256,324,301,296,305,331,868,916,,
CWIP,0,3,1,2,1,0,2,2,4,2,,
Investments,947,993,1290,1885,2550,2942,3023,3513,3324,3767,,
Other Assets,854,1469,1229,671,540,559,530,530,475,507,,
Total Assets,2051,2722,2776,2881,3392,3797,3861,4375,4670,5192,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,556,376,386,605,456,580,587,777,1200,1466,,
Cash from Investing Activity,-316,-260,-35,37,-402,-125,98,-104,-82,-326,,
Cash from Financing Activity,-300,-92,-359,-468,-239,-426,-712,-671,-1116,-1150,,
Net Cash Flow,-61,24,-7,174,-185,29,-27,3,2,-10,,
Free Cash Flow,299,361,378,601,436,573,574,767,659,1389,,
CFO/OP,120,87,85,126,69,78,79,74,91,95,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,11,8,23,18,12,18,23,23,10,10,,
Cash Conversion Cycle,11,8,23,18,12,18,23,23,10,10,,
Working Capital Days,124,-36,25,-25,-19,-5,-4,6,-9,-16,,
ROCE %,32,31,28,22,31,30,27,36,41,44,,
