Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1031,759,1068,1363,1371,475,1221,1329,1363,647,739,735
Expenses,573,490,571,558,567,436,673,758,784,489,612,549
Operating Profit,458,268,497,805,804,39,548,571,579,159,128,186
OPM %,44,35,47,59,59,8,45,43,42,25,17,25
Other Income,29,37,42,48,64,176,66,62,100,58,78,59
Interest,4,5,6,5,4,4,10,3,13,10,11,13
Depreciation,44,44,56,44,46,47,98,58,52,46,50,47
Profit before tax,440,256,478,804,818,164,506,572,614,161,144,186
Tax %,16,17,19,17,17,19,20,16,16,13,-62,34
Net Profit,369,213,386,668,676,132,406,480,518,151,269,206
EPS in Rs,20.6,11.88,21.57,37.32,37.81,7.43,22.7,26.84,28.94,8.46,14.96,11.53
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,2185,2094,1915,2052,1945,2707,3999,4430,4078,3485,,
Expenses,1256,1300,1332,1446,1681,1772,2245,2234,2617,2433,,
Operating Profit,928,795,583,606,264,936,1754,2196,1462,1052,,
OPM %,42,38,30,30,14,35,44,50,36,30,,
Other Income,40,130,107,104,99,105,126,354,272,295,,
Interest,15,19,22,13,18,14,19,24,37,46,,
Depreciation,66,81,100,117,143,164,187,235,207,196,,
Profit before tax,887,825,569,580,202,862,1674,2291,1491,1104,,
Tax %,22,22,19,24,16,17,17,18,8,—,,
Net Profit,695,642,458,442,170,715,1388,1883,1418,1145,,
EPS in Rs,37.74,35.24,25.31,24.18,9.31,39.18,77.51,105.26,79.2,63.89,,
Dividend Payout %,22,18,27,22,48,14,12,6,6,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,35,37,36,36,36,36,36,36,36,36,,
Reserves,1614,3035,3452,3737,4085,4227,4837,5817,7571,9185,,
Borrowings,222,173,386,316,268,416,167,371,279,714,,
Other Liabilities,446,470,428,498,403,430,617,682,744,1138,,
Total Liabilities,2318,3715,4303,4588,4792,5109,5657,6906,8631,11074,,
Fixed Assets,833,1019,1227,1584,2023,2312,2427,2491,2698,2803,,
CWIP,336,480,638,518,223,130,64,137,225,294,,
Investments,32,76,169,112,304,308,392,539,474,3127,,
Other Assets,1116,2140,2270,2373,2242,2360,2774,3739,5234,4850,,
Total Assets,2318,3715,4303,4588,4792,5109,5657,6906,8631,11074,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,346,464,669,417,299,46,849,1212,1697,1768,,
Cash from Investing Activity,-299,-1116,-611,-175,-107,4,-465,-1026,-1436,-1987,,
Cash from Financing Activity,-48,651,-51,-251,-186,35,-363,-247,-211,298,,
Net Cash Flow,-1,-2,7,-8,6,85,21,-62,50,79,,
Free Cash Flow,66,57,225,81,92,-142,674,855,1300,1379,,
CFO/OP,69,72,107,90,71,36,110,85,94,148,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,86,106,88,105,73,116,115,109,103,79,,
Inventory Days,213,389,545,534,570,496,432,357,405,480,,
Days Payable,160,239,224,244,104,105,153,120,145,216,,
Cash Conversion Cycle,138,257,410,395,539,507,394,345,362,343,,
Working Capital Days,71,215,207,295,246,256,198,151,151,111,,
ROCE %,39,35,23,14,13,4,18,30,33,17,,
