Item,Indicator,Value,Signal
,SMA (10),1303.98,Sell
,EMA (10),1293.95,Sell
,SMA (20),1327.32,Sell
,EMA (20),1302.33,Sell
,SMA (50),1265.3,Sell
,EMA (50),1252.5,Sell
,SMA (100),1123.72,Buy
,EMA (100),1193.3,Buy
,SMA (200),1155.09,Buy
,EMA (200),1192.15,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),40.25,Neutral
,"MACD (12,26,9)",1.82,Sell
,"Stochastic (14,3,3)",10.61,Buy
,ADX (14),28.05,Buy
,Williams %R (14),-95.27,Buy
,ATR (14),36.14,Neutral
,ROC (12),-5.49,Sell
,Stoch RSI (14),0,Buy
,"UO (7,14,28)",47.07,Neutral
