Item,Date,Document
,2026-09-04,[General Update](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=77fa76f5-5c70-4cb0-ad34-e3d35db1a052.pdf)
,2026-08-19,[Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=780ab459-df6e-44f3-914c-711a48e27e3e.pdf)
,2026-08-15,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a75b1b33-5036-48c8-bead-baaca9e8d23c.pdf)
,2026-08-15,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d7fa9623-0a32-4362-863d-d4ac3d5640da.pdf)
,2026-08-14,[Board Meeting Outcome for Outcome Of The Board Meeting - Unaudited Financial Results For The Quarter Ended 30.06.2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ddf937e1-a845-4b88-89ce-29c99e8703ae.pdf)
,2026-08-14,[Announcement under Regulation 30 (LODR)-Press Release / Media Release](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=33270326-cf4f-49a4-bfdb-2c0ae2b162da.pdf)
,2026-08-14,[Shareholder Meeting / Postal Ballot-Outcome of AGM](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6819f0a2-56d4-48e2-8502-effa8b5045e8.pdf)
,2026-08-14,[Shareholder Meeting / Postal Ballot-Scrutinizers Report](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e728174c-4395-4296-b2f8-9b7ec02bca3a.pdf)
,2026-08-14,[Announcement Under Regulation 30 - Grant Of Rsus](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c34c3db3-1f7f-45f8-9ca1-1563b43262f7.pdf)
,2026-08-14,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7def7490-1baa-468f-a697-50792c2b360e.pdf)
,Date,Document
,---,---
,2026-08-19,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=25c1eb63-b7a2-415a-8ea7-b0918018a430.pdf)
,2026-05-20,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0f003537-ef6d-4106-976e-654a9a7dd54c.pdf)
,2026-02-11,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=801de4e9-4b3d-4a2c-a81b-60f14e653bd8.pdf)
,2025-11-13,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a5134743-c64b-48fe-8fff-74d3fb3d48d0.pdf)
,2025-08-18,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0d3d8715-3ff7-4b6e-9df4-08c53d43d0b8.pdf)
,2025-05-21,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8f58471c-219a-4347-9ae4-6ea79b76df22.pdf)
,2025-02-13,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ce53ac43-de0a-467b-8580-db98948e8eb0.pdf)
