Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,922,930,924,1222,900,842,1018,1193,964,991,1143,1212
Expenses,563,520,542,632,487,393,637,605,648,549,772,685
Operating Profit,359,410,382,590,414,450,382,588,315,443,371,526
OPM %,39,44,41,48,46,53,37,49,33,45,32,43
Other Income,40,180,27,36,45,32,37,39,26,70,52,57
Interest,95,46,53,9,7,6,5,1,3,1,7,2
Depreciation,78,81,82,86,88,88,90,90,94,116,91,101
Profit before tax,226,464,274,531,363,388,324,536,244,396,325,479
Tax %,15,0,7,16,9,9,7,25,27,18,58,31
Net Profit,193,465,255,446,332,353,303,399,178,326,136,333
EPS in Rs,5.11,11.31,7.11,12.26,8.65,8.63,8.28,10.88,4.58,7.84,4.49,9.79
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,2348,2946,2759,2548,3348,3528,3818,3984,4291,4310,,
Expenses,1555,1585,1565,1479,2029,1959,2087,2148,2573,2654,,
Operating Profit,793,1361,1194,1070,1319,1569,1731,1835,1718,1656,,
OPM %,34,46,43,42,39,44,45,46,40,38,,
Other Income,69,35,10,246,211,400,242,150,186,204,,
Interest,246,362,319,348,338,397,275,26,12,13,,
Depreciation,228,276,294,300,295,306,319,352,391,402,,
Profit before tax,388,757,590,668,896,1266,1379,1607,1501,1444,,
Tax %,28,55,10,18,36,3,9,11,31,—,,
Net Profit,278,339,531,551,573,1222,1256,1434,1039,972,,
EPS in Rs,6.66,7.73,11.22,13.53,17.84,42.1,43.28,38.57,27.8,26.7,,
Dividend Payout %,11,10,7,9,17,7,5,21,31,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,36,36,36,35,30,29,29,29,28,28,,
Reserves,3127,3349,3653,4150,4382,4924,5996,6880,7583,8717,,
Borrowings,4389,4008,3438,3492,3392,3587,3074,414,893,2226,,
Other Liabilities,890,838,1213,1605,1832,2161,2014,2346,2758,3393,,
Total Liabilities,8441,8230,8340,9283,9636,10701,11114,9668,11262,14365,,
Fixed Assets,2148,6143,5965,6019,5639,5546,5664,5559,5528,5753,,
CWIP,3969,10,6,17,17,17,47,50,575,2185,,
Investments,411,175,155,124,314,529,450,514,1042,1408,,
Other Assets,1913,1903,2214,3122,3665,4609,4953,3546,4118,5019,,
Total Assets,8441,8230,8340,9283,9636,10701,11114,9668,11262,14365,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,39,201,824,527,758,608,1223,3174,2157,2312,,
Cash from Investing Activity,-690,267,1,7,-216,-212,28,-237,-1270,-1848,,
Cash from Financing Activity,648,-813,-878,-482,-473,-415,-1184,-3066,-163,645,,
Net Cash Flow,-3,-345,-52,52,69,-19,67,-129,724,1109,,
Free Cash Flow,-477,126,693,397,725,545,1136,3008,1305,529,,
CFO/OP,46,34,65,50,78,62,87,191,128,153,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,45,113,171,290,131,117,242,169,129,81,,
Inventory Days,218,144,160,170,199,148,262,175,244,170,,
Days Payable,49,46,54,45,49,34,71,49,50,73,,
Cash Conversion Cycle,215,211,277,415,281,231,433,294,323,178,,
Working Capital Days,-55,34,95,151,-60,-61,143,188,171,129,,
ROCE %,2,8,15,13,12,15,17,16,17,13,,
