Item,Indicator,Value,Signal
,SMA (10),8646.25,Sell
,EMA (10),8609.4,Sell
,SMA (20),8482.13,Buy
,EMA (20),8484.91,Buy
,SMA (50),8064.06,Buy
,EMA (50),8123.51,Buy
,SMA (100),7587.58,Buy
,EMA (100),7655.02,Buy
,SMA (200),6838.21,Buy
,EMA (200),6958.83,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),55.29,Neutral
,"MACD (12,26,9)",180.92,Sell
,"Stochastic (14,3,3)",67.85,Neutral
,ADX (14),31.22,Buy
,Williams %R (14),-47.24,Neutral
,ATR (14),219.96,Neutral
,ROC (12),-0.11,Sell
,Stoch RSI (14),0,Buy
,"UO (7,14,28)",57.1,Neutral
