Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,2059,2424,3996,2143,2446,2809,4644,2391,2914,3022,4560,2260
Expenses,1963,2306,3753,2051,2346,2665,4353,2281,2809,2909,4273,2105
Operating Profit,96,117,243,92,100,144,291,110,104,114,287,155
OPM %,4.6,4.8,6,4.3,4.1,5,6,4.6,3.6,3.8,6,7
Other Income,11,36,-44,54,67,54,-39,74,103,152,59,61
Interest,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,1,1,1,1,1,2,3,3,3,3,4,4
Profit before tax,105,152,198,144,166,196,249,181,205,263,342,213
Tax %,22,25,28,25,25,27,27,26,23,25,26,26
Net Profit,82,114,141,107,125,142,183,135,157,197,254,158
EPS in Rs,0.29,0.41,0.5,0.39,0.45,0.51,0.65,0.49,0.57,0.71,0.89,0.57
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,8447,9943,8087,6953,7691,8876,10407,12044,12889,12756,,
Expenses,7992,9574,7982,6821,7483,8532,9890,11409,12269,12095,,
Operating Profit,455,369,105,133,207,345,517,635,619,660,,
OPM %,5,3.7,1.3,1.9,2.7,3.9,5,5,4.8,5,,
Other Income,163,207,207,180,121,38,51,133,388,376,,
Interest,28,3,8,15,9,6,4,5,3,0,,
Depreciation,6,4,6,6,5,5,5,7,13,14,,
Profit before tax,584,569,297,292,315,372,559,755,991,1023,,
Tax %,32,31,66,18,24,25,26,26,25,—,,
Net Profit,396,392,100,240,238,278,414,557,742,765,,
EPS in Rs,1.4,1.39,0.29,0.84,0.83,0.99,1.49,2,2.67,2.74,,
Dividend Payout %,26,31,31,37,40,36,28,33,38,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,180,180,180,180,180,180,180,180,270,270,,
Reserves,1514,1886,1328,1270,1463,1588,1764,2046,2209,2747,,
Borrowings,6,0,0,0,1,0,0,1,0,0,,
Other Liabilities,6366,10202,11592,11080,11778,11715,10968,10513,10911,13290,,
Total Liabilities,8066,12269,13101,12531,13422,13483,12913,12739,13390,16307,,
Fixed Assets,123,129,182,165,159,175,182,185,531,614,,
CWIP,0,0,0,0,16,2,4,12,4,38,,
Investments,74,28,42,28,20,18,21,276,265,19,,
Other Assets,7868,12111,12876,12337,13227,13287,12705,12266,12590,15636,,
Total Assets,8066,12269,13101,12531,13422,13483,12913,12739,13390,16307,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,605,907,638,113,456,80,-374,-6,661,439,,
Cash from Investing Activity,282,-474,-209,88,151,33,272,-184,575,250,,
Cash from Financing Activity,-502,-247,-150,-160,-41,-95,-90,-103,-269,-201,,
Net Cash Flow,385,185,279,41,567,19,-192,-293,967,489,,
Free Cash Flow,591,902,633,130,454,74,-385,-50,342,402,,
CFO/OP,168,228,208,135,356,44,-105,1,107,84,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,126,115,90,84,109,96,82,102,93,144,,
Cash Conversion Cycle,126,115,90,84,109,96,82,102,93,144,,
Working Capital Days,-30,-122,-149,-235,-285,-241,-190,-123,-122,-119,,
ROCE %,32,29,30,18,18,21,27,32,33,29,,
