Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,145,253,266,149,251,334,415,301,304,805,774,820
Expenses,126,219,225,130,215,291,355,256,258,707,677,699
Operating Profit,19,34,40,20,36,43,59,45,45,98,97,121
OPM %,13,14,15,13,14,13,14,15,15,12,12,15
Other Income,3,5,4,4,2,2,2,1,1,7,10,8
Interest,1,2,3,1,1,1,1,1,1,3,8,12
Depreciation,1,2,2,2,3,3,3,3,3,4,4,3
Profit before tax,20,35,40,20,35,40,57,42,42,98,95,114
Tax %,25,26,26,25,25,26,26,27,25,25,26,25
Net Profit,15,26,30,15,26,30,43,30,31,73,71,85
EPS in Rs,2.7,4.64,5.26,2.7,4.64,5.27,7.52,5.38,5.55,12.94,12.4,14.98
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,
---,---,---,---,---,---,---,---,---,---,,,
Sales,130,156,143,247,445,724,1149,2184,2702,,,
Expenses,123,148,128,212,375,621,990,1899,2342,,,
Operating Profit,7,8,14,35,70,103,159,285,360,,,
OPM %,5,5,10,14,16,14,14,13,13,,,
Other Income,0,1,2,1,1,12,9,19,26,,,
Interest,2,3,3,4,4,6,4,13,23,,,
Depreciation,1,1,1,2,4,6,11,14,14,,,
Profit before tax,4,5,11,30,63,102,153,277,349,,,
Tax %,31,27,26,26,25,26,26,26,—,,,
Net Profit,3,4,8,22,47,76,114,206,261,,,
EPS in Rs,4.74,6.91,14.55,39.68,9.22,13.47,20.08,36.15,45.87,,,
Dividend Payout %,0,0,0,0,5,15,12,8,—,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Equity Capital,6,6,6,6,10,11,11,11,,,,
Reserves,5,8,16,39,83,411,518,712,,,,
Borrowings,11,15,31,34,36,10,8,282,,,,
Other Liabilities,29,22,58,70,137,180,355,1249,,,,
Total Liabilities,51,51,110,149,266,612,892,2255,,,,
Fixed Assets,4,6,7,10,23,44,49,58,,,,
CWIP,0,0,0,1,2,1,7,2,,,,
Investments,0,0,0,0,0,0,0,0,,,,
Other Assets,47,44,104,138,241,568,836,2196,,,,
Total Assets,51,51,110,149,266,612,892,2255,,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Cash from Operating Activity,3,3,-10,5,27,18,-13,790,,,,
Cash from Investing Activity,-1,-3,-2,-5,-14,-145,112,-216,,,,
Cash from Financing Activity,-2,1,12,0,-8,209,-18,240,,,,
Net Cash Flow,0,1,0,0,5,83,80,814,,,,
Free Cash Flow,3,1,-11,0,14,0,-36,779,,,,
CFO/OP,58,57,-62,29,57,50,16,301,,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Debtor Days,86,41,143,115,124,93,115,112,,,,
Inventory Days,29,32,100,75,61,77,91,170,,,,
Days Payable,79,46,146,104,116,85,123,161,,,,
Cash Conversion Cycle,35,28,97,86,69,85,83,121,,,,
Working Capital Days,27,27,55,58,55,80,92,14,,,,
ROCE %,—,31,36,52,64,38,32,37,,,,
