Item,Indicator,Value,Signal
,SMA (10),5108.16,Sell
,EMA (10),5094.48,Sell
,SMA (20),5216.46,Sell
,EMA (20),5091.91,Sell
,SMA (50),4784.06,Buy
,EMA (50),4885.16,Buy
,SMA (100),4560.98,Buy
,EMA (100),4560.23,Buy
,SMA (200),3917.98,Buy
,EMA (200),4020.56,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),49.16,Neutral
,"MACD (12,26,9)",47.19,Sell
,"Stochastic (14,3,3)",13.64,Buy
,ADX (14),26.18,Buy
,Williams %R (14),-75.06,Neutral
,ATR (14),216.57,High Volatility
,ROC (12),-4.65,Sell
,Stoch RSI (14),29.93,Neutral
,"UO (7,14,28)",33.29,Neutral
