Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,418,393,385,440,311,398,328,293,514,440,776,642
Expenses,280,272,278,316,249,311,277,258,359,363,469,419
Operating Profit,137,121,107,123,62,87,51,34,156,77,307,223
OPM %,33,31,28,28,20,22,16,12,30,18,40,35
Other Income,3,2,5,25,4,60,7,8,2,8,12,8
Interest,4,4,4,3,1,2,2,5,5,7,7,7
Depreciation,15,15,16,16,16,16,17,20,23,24,25,27
Profit before tax,122,104,92,130,49,128,39,18,129,54,287,198
Tax %,27,22,27,25,34,20,29,21,25,26,26,25
Net Profit,89,81,68,98,33,102,28,14,97,41,213,148
EPS in Rs,69.56,63.44,52.66,76.28,25.6,79.18,21.68,10.83,75.49,31.62,165.76,115.1
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,527,667,763,937,951,1191,1559,1477,2023,2372,,
Expenses,477,608,661,790,807,918,1096,1146,1443,1609,,
Operating Profit,51,58,102,147,144,273,463,331,580,763,,
OPM %,10,9,13,16,15,23,30,22,29,32,,
Other Income,4,3,4,16,0,9,12,90,25,31,,
Interest,19,16,22,18,14,13,14,8,24,26,,
Depreciation,22,26,31,40,49,53,60,66,92,98,,
Profit before tax,14,20,53,105,82,216,401,346,489,669,,
Tax %,13,19,69,23,22,24,25,25,26,—,,
Net Profit,12,16,16,81,64,164,300,260,364,498,,
EPS in Rs,13.57,12.81,12.63,62.85,49.74,127.45,233.89,202.74,283.71,387.97,,
Dividend Payout %,0,0,16,8,10,8,6,6,12,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,9,9,13,13,13,13,13,13,13,13,,
Reserves,537,549,686,697,774,828,981,1270,1512,1862,,
Borrowings,192,319,231,264,182,241,128,95,157,301,,
Other Liabilities,148,194,200,257,356,302,457,454,498,754,,
Total Liabilities,886,1071,1130,1231,1325,1383,1580,1833,2180,2930,,
Fixed Assets,466,475,542,653,716,767,758,824,955,1177,,
CWIP,20,126,104,24,17,20,41,46,48,211,,
Investments,8,8,8,8,7,4,1,1,109,2,,
Other Assets,393,463,476,547,585,592,781,962,1068,1541,,
Total Assets,886,1071,1130,1231,1325,1383,1580,1833,2180,2930,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,39,11,70,57,189,60,237,261,317,347,,
Cash from Investing Activity,-42,-116,-77,-49,-84,-95,-61,-150,-298,-423,,
Cash from Financing Activity,0,105,12,-5,-114,38,-136,-69,25,21,,
Net Cash Flow,-4,0,5,3,-9,3,40,42,44,-55,,
Free Cash Flow,-2,-121,7,9,84,-37,173,119,112,-50,,
CFO/OP,52,28,128,61,132,56,103,81,119,78,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,114,134,90,91,85,90,111,87,78,98,,
Inventory Days,186,266,191,209,205,227,211,220,238,245,,
Days Payable,118,189,118,110,126,100,129,121,156,129,,
Cash Conversion Cycle,182,211,162,190,164,216,193,187,160,214,,
Working Capital Days,44,38,138,137,60,74,81,88,76,75,,
ROCE %,16,4,4,8,11,10,21,33,19,26,,
