Item,Indicator,Value,Signal
,SMA (10),517.95,Sell
,EMA (10),516.35,Sell
,SMA (20),524.06,Sell
,EMA (20),522.74,Sell
,SMA (50),530.98,Sell
,EMA (50),522.06,Sell
,SMA (100),502.71,Sell
,EMA (100),527.02,Sell
,SMA (200),568.48,Sell
,EMA (200),593.84,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),40.11,Neutral
,"MACD (12,26,9)",-6.08,Sell
,"Stochastic (14,3,3)",6.84,Buy
,ADX (14),20.38,Neutral
,Williams %R (14),-96.32,Buy
,ATR (14),19.02,High Volatility
,ROC (12),-4.38,Sell
,Stoch RSI (14),0,Buy
,"UO (7,14,28)",33.66,Neutral
