Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,2931,2056,1887,2694,3052,2287,2347,3214,3365,2221,2816,3808
Expenses,1163,1303,735,1085,1247,1272,1142,1412,1338,2009,2179,1456
Operating Profit,1768,752,1152,1609,1805,1015,1205,1802,2027,212,637,2352
OPM %,60,37,61,60,59,44,51,56,60,10,23,62
Other Income,261,587,623,431,454,365,265,413,448,1449,306,407
Interest,116,133,365,244,308,649,-12,261,278,310,574,606
Depreciation,295,296,299,296,285,297,315,436,441,457,642,600
Profit before tax,1618,909,1111,1500,1666,434,1167,1518,1755,894,-274,1554
Tax %,-5,31,46,27,36,24,21,26,31,64,-666,24
Net Profit,1693,623,605,1102,1060,330,920,1131,1219,321,1549,1178
EPS in Rs,1.54,0.48,0.54,1.02,0.9,0.23,0.85,1.06,1.02,0.22,1.45,1.09
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,7755,8983,10008,9648,9144,10607,9631,10380,11615,12210,,
Expenses,3508,4002,5152,4371,5131,4423,4695,4857,7519,6982,,
Operating Profit,4248,4981,4856,5277,4013,6184,4936,5523,4097,5227,,
OPM %,55,55,49,55,44,58,51,53,35,43,,
Other Income,1185,1733,901,1087,981,743,2030,1626,3196,2609,,
Interest,924,896,877,577,586,475,767,1189,1423,1768,,
Depreciation,1469,1658,1614,1292,1190,1215,1184,1193,1976,2140,,
Profit before tax,3040,4159,3266,4495,3217,5237,5015,4767,3894,3929,,
Tax %,8,32,-2,20,-17,19,20,28,-8,—,,
Net Profit,2785,2836,3345,3600,3774,4261,4000,3412,4220,4267,,
EPS in Rs,2.45,2.58,2.87,3.26,3.51,3.89,3.58,2.99,3.75,3.78,,
Dividend Payout %,57,56,52,49,52,48,53,64,43,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,10259,10259,10045,10045,10045,10045,10045,10045,10045,10045,,
Reserves,18756,19782,20753,21336,23008,24876,26916,28624,29623,31392,,
Borrowings,19227,18602,19066,23226,23365,26096,29540,32561,39557,52327,,
Other Liabilities,11946,14290,16870,16669,16717,16271,19710,21037,23455,26243,,
Total Liabilities,60187,62933,66734,71277,73136,77288,86211,92267,102680,120007,,
Fixed Assets,22227,21201,24977,24402,21993,21825,22137,21474,22168,50290,,
CWIP,17588,19087,15037,17180,19167,22522,31357,39798,50601,34948,,
Investments,1020,1125,1283,1398,1842,2386,499,479,444,440,,
Other Assets,19352,21520,25437,28297,30133,30554,32218,30516,29467,34329,,
Total Assets,60187,62933,66734,71277,73136,77288,86211,92267,102680,120007,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,8329,4696,3824,2993,5070,4590,4705,7252,5026,3294,,
Cash from Investing Activity,-1864,-886,-1182,-2987,-1607,-3084,-4191,-5940,-7550,-11139,,
Cash from Financing Activity,-7812,-3863,-2637,12,-3058,-638,-795,-924,1904,8928,,
Net Cash Flow,-1347,-53,5,17,405,867,-281,388,-620,1082,,
Free Cash Flow,6742,3133,2464,-639,3012,888,-269,285,-3823,-8274,,
CFO/OP,193,130,94,79,110,135,92,165,107,102,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,78,63,115,131,194,207,212,168,90,83,,
Cash Conversion Cycle,78,63,115,131,194,207,212,168,90,83,,
Working Capital Days,-29,-120,-18,57,36,11,-1,-51,-58,-97,,
ROCE %,11,8,10,8,9,6,8,8,7,6,,
