Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1305,1204,1246,1306,1367,1335,1475,1507,1644,2151,2594,2684
Expenses,997,925,955,1004,1058,1027,1118,1171,1243,1786,2086,2216
Operating Profit,308,279,291,302,309,307,358,337,401,365,508,468
OPM %,24,23,23,23,23,23,24,22,24,17,20,17
Other Income,18,18,26,24,23,18,20,24,24,-29,25,35
Interest,23,25,28,34,35,37,41,45,42,65,91,87
Depreciation,55,63,65,61,65,70,82,84,87,122,154,156
Profit before tax,248,209,225,231,232,219,254,232,296,149,288,260
Tax %,9,10,15,13,14,12,22,15,13,15,22,20
Net Profit,227,188,191,202,199,193,197,197,258,127,224,207
EPS in Rs,11.09,9.2,9.33,9.85,9.72,9.44,9.65,9.62,12.64,6.2,10.96,10.14
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,2281,2861,3128,2583,3701,4525,4890,5483,7896,9072,,
Expenses,2064,2566,2694,2394,3038,3538,3722,4185,6255,7330,,
Operating Profit,217,295,434,189,664,987,1168,1298,1641,1742,,
OPM %,10,10,14,7,18,22,24,24,21,19,,
Other Income,18,16,7,21,26,59,73,80,37,56,,
Interest,55,81,94,82,76,84,112,163,266,285,,
Depreciation,100,137,186,184,183,210,241,278,448,520,,
Profit before tax,80,93,161,-56,430,752,888,936,964,993,,
Tax %,36,37,26,-75,20,19,11,16,16,—,,
Net Profit,51,59,119,-14,342,607,790,791,806,817,,
EPS in Rs,2.51,2.9,5.82,-0.7,16.73,29.67,38.62,38.66,39.42,39.94,,
Dividend Payout %,0,35,17,0,6,8,10,12,11,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,204,204,204,204,204,204,204,204,204,204,,
Reserves,759,831,877,932,916,1284,1927,2679,3422,4333,,
Borrowings,217,802,813,952,826,723,884,1627,2428,5858,,
Other Liabilities,468,692,746,813,833,931,1155,1123,1216,2088,,
Total Liabilities,1648,2529,2640,2901,2779,3143,4170,5633,7271,12482,,
Fixed Assets,1082,1848,1838,2092,1961,1980,2336,2651,4266,7796,,
CWIP,53,35,56,12,20,67,259,514,86,292,,
Investments,96,9,17,86,120,132,252,844,1084,573,,
Other Assets,417,637,729,711,678,964,1323,1624,1835,3822,,
Total Assets,1648,2529,2640,2901,2779,3143,4170,5633,7271,12482,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,219,182,279,443,304,485,1085,1067,986,1621,,
Cash from Investing Activity,-146,-520,-162,-189,-113,-267,-1176,-1458,-1325,-3648,,
Cash from Financing Activity,-45,315,-27,-247,-194,-159,88,488,544,2340,,
Net Cash Flow,28,-22,89,7,-2,59,-4,97,205,313,,
Free Cash Flow,85,-20,129,329,235,235,563,99,-93,753,,
CFO/OP,108,100,113,117,133,83,119,99,86,108,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,30,45,34,31,39,43,35,31,37,30,,
Inventory Days,45,56,48,35,32,30,31,44,40,42,,
Days Payable,173,200,177,177,221,180,224,214,185,248,,
Cash Conversion Cycle,-98,-100,-95,-111,-150,-108,-158,-138,-108,-176,,
Working Capital Days,-11,-10,-10,-22,-38,-16,-25,-30,-17,-19,,
ROCE %,14,9,9,14,2,25,32,26,21,16,,
