Item,Date,Document
,"7 Apr - Certificate under Regulation 74(5) of SEBI (Depository and Participants) Regulations, 2018 for the quarter & year ended 31.03.2026","[Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018 7 Apr - Certificate under Regulation 74(5) of SEBI (Depository and Participants) Regulations, 2018 for the quarter & year ended 31.03.2026](https://www.bseindia.com/xml-data/corpfiling/AttachHis/cdd11a73-ce2f-4c37-8071-b1da0351b581.pdf)"
,"6 Feb - Q3 & 9M FY26 transcript: Q3 PAT ₹372cr, 9M PAT ₹826cr, GWP Q3 ₹11,680cr, solvency 1.81x.","[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome 6 Feb - Q3 & 9M FY26 transcript: Q3 PAT ₹372cr, 9M PAT ₹826cr, GWP Q3 ₹11,680cr, solvency 1.81x.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/bcf2da94-53e5-433a-b0ff-e8850f56a363.pdf)"
,"5h - Board approved FY26 audited results, recommended Rs1.50 final dividend, record date 4 September 2026.","[Board Meeting Outcome for Outcome Of The Board Meeting Held On 11Th May, 2026 5h - Board approved FY26 audited results, recommended Rs1.50 final dividend, record date 4 September 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/b3e3c7ba-98fe-45f7-b318-2f916a5f8979.pdf)"
,"5h - Board approved FY26 audited results, recommended Rs1.50 final dividend, and set 4 Sept 2026 record date.","[The Record Date For The Payment Of Dividend For FY 2025-26 Is 04Th September, 2026 5h - Board approved FY26 audited results, recommended Rs1.50 final dividend, and set 4 Sept 2026 record date.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/7b82a6bf-5d41-43f8-a0a1-7f761659baf0.pdf)"
,4h - Investors Presentation for the Quarter and Year ended on 31.03.2026,[Announcement under Regulation 30 (LODR)-Investor Presentation 4h - Investors Presentation for the Quarter and Year ended on 31.03.2026](https://www.bseindia.com/xml-data/corpfiling/AttachLive/c5377489-0ab1-4b84-86db-ebe8c9da76c9.pdf)
,31 Mar - Kasturi Sengupta ceased as Executive Director effective 31-03-2026 due to superannuation.,[Announcement under Regulation 30 (LODR)-Cessation 31 Mar - Kasturi Sengupta ceased as Executive Director effective 31-03-2026 due to superannuation.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/3bf92006-2f59-42b9-9a09-c3c20114dce1.pdf)
,30 Mar - New India Assurance replacing RFA MUFG Intime with Alankit; effective date TBA; transition underway (announced 30 Mar 2026).,[Change In Registrar And Share Transfer Agent 30 Mar - New India Assurance replacing RFA MUFG Intime with Alankit; effective date TBA; transition underway (announced 30 Mar 2026).](https://www.bseindia.com/xml-data/corpfiling/AttachHis/256a416c-7377-47d2-a17f-6ef6e6d184c3.pdf)
,"30 Apr - Income Tax Department issued Rs. 612.34 crore refund for AY 2014-15 and 2017-18, including Rs. 180.52 crore interest.","[Announcement Under Regulation 30 Of SEBI LODR 30 Apr - Income Tax Department issued Rs. 612.34 crore refund for AY 2014-15 and 2017-18, including Rs. 180.52 crore interest.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/292aeafb-708f-4856-aad2-aae14994645c.pdf)"
,"30 Apr - Income Tax Department issued Rs. 612.34 crore refund for AY 2014-15 and 2017-18, including Rs. 180.52 crore interest.","[Announcement Under Regulation 30 Of SEBI LODR 30 Apr - Income Tax Department issued Rs. 612.34 crore refund for AY 2014-15 and 2017-18, including Rs. 180.52 crore interest.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/292aeafb-708f-4856-aad2-aae14994645c.pdf)"
,30 Apr - Board meeting on 11 May 2026 to approve audited results for quarter and year ended 31 March 2026.,[Board Meeting Intimation for Notice Of The Board Meeting To Be Held On 11.05.2026 30 Apr - Board meeting on 11 May 2026 to approve audited results for quarter and year ended 31 March 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/f79c2a15-37c4-4cc9-8f8d-57491434eca8.pdf)
,Date,Document
,---,---
,2026-09-09,[Disclosure Under Regulation 3O Of The Securities And Exchange Board Of India (Listing Obligations And Disclosure Requirements Regulations 2015)- Sale Of Shares Of National Stock Exchange Of India Ltd. In Its Initial Public Offer.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=841374ac-6e49-4938-a815-553daff25942.pdf)
,2026-09-09,[Announcement under Regulation 30 (LODR)-Appointment of Statutory Auditor/s](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3d4ae488-5d53-4655-9579-a5c303468e79.pdf)
,2026-08-27,[Announcement Under Regulation 30](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=66b6bcfa-108d-4641-a783-7139a7bc7c5e.pdf)
,2026-08-06,[Clarification On Volume Movement](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6a963842-23fe-4f5e-bfb2-0a4a964116c9.pdf)
,2026-07-31,[Announcement under Regulation 30 (LODR)-Cessation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=81fb86e6-f46e-4016-a05c-e287a4a93a22.pdf)
,2026-07-29,[Business Responsibility and Sustainability Reporting (BRSR)](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c578f12b-62c2-418c-bbda-ec5096ecde52.pdf)
,2026-07-27,[Shareholder Meeting / Postal Ballot-Outcome of AGM](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c65f5610-3295-4c59-a91f-8ee6f6174c8e.pdf)
,2026-07-27,[Shareholder Meeting / Postal Ballot-Scrutinizers Report](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cfd816fb-37a7-49a5-853c-4cd17d8220fd.pdf)
,2026-07-26,[Reg. 34 (1) Annual Report.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=57acfaf5-4806-4798-a344-042bea576c60.pdf)
,2026-07-24,[Board Meeting Outcome for Outcome Of The Board Meeting Held On 24Th July 2O26](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4e1e7af8-2aca-4184-b858-8a161089d4e4.pdf)
,Date,Document
,---,---
,2026-07-24,[Un-Audited Financial Results Of The Company For The Quarter Ended June 30 2026.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7aeafd12-2375-40bf-88ec-7cf781bc7776.pdf)
,2026-01-30,[Financials For Quarter Ended 31St December 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5ca1963e-bb67-4f8c-b447-b168dcf93542.pdf)
,2025-11-13,[Outcome Of Board Meeting Held On 13.11.2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=68b61da8-b8e9-40d9-bff6-86a3bc89034e.pdf)
,2025-07-29,[Financial Results For The Quarter Ended 30.06.2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9c9e18a4-958b-4ada-85b5-a65375b8c3ca.pdf)
