Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,969,1026,1316,1124,1321,1258,1671,1932,1574,1611,2251,2471
Expenses,1027,1071,1215,1228,1387,1282,1420,1834,1627,1705,2069,2287
Operating Profit,-58,-46,100,-103,-66,-24,251,98,-53,-94,182,184
OPM %,-6,-4.4,8,-9,-5,-1.9,15,5,-3.4,-6,8,7
Other Income,50,50,57,84,79,37,-45,0,18,7,-1,0
Interest,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,-8,5,157,-19,13,13,206,98,-35,-88,181,184
Tax %,0,0,0,0,0,0,0,27,0,0,12,25
Net Profit,-8,5,157,-19,13,13,206,71,-35,-88,159,138
EPS in Rs,—,—,—,—,—,0.07,1.13,0.39,-0.19,-0.47,0.86,0.75
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,
---,---,---,---,---,---,---,---,---,---,,,
Sales,851,1057,1413,1877,2853,4115,5374,6695,7907,,,
Expenses,880,1094,1435,2328,3183,4228,5292,6534,7689,,,
Operating Profit,-29,-37,-22,-451,-330,-113,83,160,218,,,
OPM %,-3.4,-3.5,-1.5,-24,-12,-2.7,1.5,2.4,2.8,,,
Other Income,0,0,0,281,374,224,155,2,23,,,
Interest,3,4,6,0,0,0,0,0,0,,,
Depreciation,16,21,22,27,32,29,25,36,0,,,
Profit before tax,-48,-62,-50,-197,13,82,214,127,242,,,
Tax %,0,0,0,0,0,0,0,-3,—,,,
Net Profit,-48,-62,-50,-197,13,82,214,131,174,,,
EPS in Rs,—,—,—,—,—,—,1.17,0.71,0.95,,,
Dividend Payout %,0,0,0,0,0,0,0,0,—,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Equity Capital,981,1126,1350,1409,1511,1700,1827,1847,,,,
Reserves,-719,-780,-773,-903,-683,351,1949,1939,,,,
Borrowings,0,0,0,250,250,250,250,250,,,,
Other Liabilities,737,891,1322,1983,2799,3891,5735,7240,,,,
Total Liabilities,1000,1237,1899,2738,3877,6192,9760,11276,,,,
Fixed Assets,30,39,46,49,52,58,66,85,,,,
CWIP,2,2,2,1,4,1,9,3,,,,
Investments,816,1067,1622,2401,3366,5458,8175,9670,,,,
Other Assets,152,129,230,287,455,675,1510,1518,,,,
Total Assets,1000,1237,1899,2738,3877,6192,9760,11276,,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Cash from Operating Activity,—,—,257,338,593,813,1654,905,,,,
Cash from Investing Activity,—,—,-374,-723,-829,-1882,-2348,-961,,,,
Cash from Financing Activity,—,—,280,374,280,1110,771,-5,,,,
Net Cash Flow,—,—,164,-12,43,41,78,-62,,,,
Free Cash Flow,—,—,229,309,555,780,1614,857,,,,
CFO/OP,—,—,-1180,-75,-180,-720,2000,577,,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Debtor Days,0,0,0,0,0,0,0,0,,,,
Cash Conversion Cycle,0,0,0,0,0,0,0,0,,,,
Working Capital Days,-264,-270,-290,-341,-313,-298,-351,-354,,,,
ROCE %,—,-19,-10,-30,1,5,7,3,,,,
