Item,Indicator,Value,Signal
,SMA (10),45.24,Sell
,EMA (10),44.6,Sell
,SMA (20),43.48,Buy
,EMA (20),44.24,Sell
,SMA (50),43.38,Buy
,EMA (50),43.86,Sell
,SMA (100),44.23,Sell
,EMA (100),43.5,Buy
,SMA (200),42.31,Buy
,EMA (200),42.55,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),48.15,Neutral
,"MACD (12,26,9)",0.44,Sell
,"Stochastic (14,3,3)",46.1,Neutral
,ADX (14),27.78,Buy
,Williams %R (14),-59.98,Neutral
,ATR (14),1.65,High Volatility
,ROC (12),5.36,Buy
,Stoch RSI (14),36.26,Neutral
,"UO (7,14,28)",41.47,Neutral
