Item,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,446,508,578,504,505,622,680,612,653,913,1107
Expenses,51,71,65,85,82,62,77,83,118,138,118
Operating Profit,395,437,513,419,424,560,604,530,535,774,989
OPM %,89,86,89,83,84,90,89,86,82,85,89
Other Income,17,45,29,21,76,129,89,60,31,48,44
Interest,174,181,183,195,206,177,193,207,230,257,322
Depreciation,159,173,175,182,195,206,223,261,300,318,343
Profit before tax,80,127,183,63,99,307,277,122,37,247,368
Tax %,31,36,24,42,34,24,20,29,53,20,17
Net Profit,56,81,139,37,66,233,220,86,17,197,305
EPS in Rs,0.12,0.14,0.24,0.05,0.08,0.28,0.26,0.1,0.02,0.23,0.36
Item,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,,,,
---,---,---,---,---,---,,,,,,
Sales,170,1963,2210,2858,3285,,,,,,
Expenses,18,217,290,397,457,,,,,,
Operating Profit,152,1745,1920,2461,2828,,,,,,
OPM %,90,89,87,86,86,,,,,,
Other Income,1,77,257,221,183,,,,,,
Interest,51,694,766,898,1016,,,,,,
Depreciation,50,643,758,1102,1221,,,,,,
Profit before tax,53,486,653,683,774,,,,,,
Tax %,-226,29,27,24,—,,,,,,
Net Profit,171,343,474,521,606,,,,,,
EPS in Rs,0.36,0.6,0.56,0.62,0.71,,,,,,
Dividend Payout %,0,0,0,0,—,,,,,,
Item,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,,,
---,---,---,---,---,,,,,,,
Equity Capital,4720,5720,8426,8426,,,,,,,
Reserves,168,513,10014,10539,,,,,,,
Borrowings,6137,13856,19441,31716,,,,,,,
Other Liabilities,7407,7119,7540,9700,,,,,,,
Total Liabilities,18431,27207,45421,60382,,,,,,,
Fixed Assets,14758,17573,21816,39202,,,,,,,
CWIP,1749,7138,13983,14193,,,,,,,
Investments,0,0,3199,3536,,,,,,,
Other Assets,1924,2495,6423,3451,,,,,,,
Total Assets,18431,27207,45421,60382,,,,,,,
Item,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,,,
---,---,---,---,---,,,,,,,
Cash from Operating Activity,17,1616,2051,2386,,,,,,,
Cash from Investing Activity,-10304,-9218,-17845,-12117,,,,,,,
Cash from Financing Activity,10360,7645,15715,9796,,,,,,,
Net Cash Flow,73,43,-80,66,,,,,,,
Free Cash Flow,-734,-7937,-9986,-12832,,,,,,,
CFO/OP,11,93,107,97,,,,,,,
Item,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,,,
---,---,---,---,---,,,,,,,
Debtor Days,700,131,85,78,,,,,,,
Cash Conversion Cycle,700,131,85,78,,,,,,,
Working Capital Days,-8849,-723,-650,-684,,,,,,,
ROCE %,—,8,5,4,,,,,,,
