Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,44983,42820,47628,48529,44706,45069,49834,47064,44786,45846,49686,50741
Expenses,32303,31458,33638,35091,33041,31729,35080,34485,31970,31276,41181,34510
Operating Profit,12680,11362,13990,13438,11665,13341,14754,12579,12816,14570,8505,16231
OPM %,28,27,29,28,26,30,30,27,29,32,17,32
Other Income,1024,2532,1400,1187,3218,986,4180,3241,2734,1738,1918,1549
Interest,2921,3250,2955,3136,3621,2764,3648,3468,3432,3164,3737,3386
Depreciation,4038,4074,4271,4204,4216,4318,4663,4587,4816,5093,5134,5234
Profit before tax,6746,6571,8164,7284,7046,7245,10623,7765,7301,8050,1553,9160
Tax %,30,21,20,24,24,29,26,21,28,30,-584,25
Net Profit,4726,5209,6490,5506,5380,5170,7897,6108,5225,5597,10615,6896
EPS in Rs,4.76,5.32,6.36,5.65,5.44,5.22,7.85,6.2,5.23,5.66,10.81,6.93
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,88083,100287,109464,111531,132669,176207,178525,188138,187385,191059,,
Expenses,65598,77576,77878,77487,92307,128611,127056,133783,131947,138937,,
Operating Profit,22485,22710,31586,34044,40362,47596,51469,54355,55438,52121,,
OPM %,26,23,29,31,30,27,29,29,30,27,,
Other Income,5576,2818,8209,5021,4809,2561,5177,8526,2662,7938,,
Interest,4447,5605,8189,9224,9376,11447,12301,13282,13801,13719,,
Depreciation,7460,8669,10356,12450,13788,14792,16204,17401,19629,20276,,
Profit before tax,16154,11255,21250,17390,22007,23917,28142,32198,24669,26064,,
Tax %,35,-25,44,14,23,28,24,26,-12,—,,
Net Profit,10502,14034,11902,14969,16960,17121,21332,23953,27546,28334,,
EPS in Rs,10.66,13.88,11.72,15.09,17.2,17.44,21.46,24.16,27.9,28.63,,
Dividend Payout %,40,44,27,41,41,42,36,35,32,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,8245,8245,9895,9895,9697,9697,9697,9697,9697,9697,,
Reserves,89593,95318,101462,108945,116042,125677,137326,151013,174374,193479,,
Borrowings,113773,130049,173058,200630,210208,210707,222913,237131,250096,271005,,
Other Liabilities,36990,48880,62509,58202,62075,69751,77253,81437,89565,84262,,
Total Liabilities,248601,282492,346923,377671,398022,415831,447189,479278,523732,558442,,
Fixed Assets,104532,128245,150985,187803,203245,224923,240424,258934,271437,318697,,
CWIP,86896,83386,118397,98508,97506,91126,89179,87664,100859,84957,,
Investments,7614,8876,8132,9307,10589,10626,13935,15885,19704,24180,,
Other Assets,49560,61985,69409,82053,86681,89156,103651,116795,131733,130609,,
Total Assets,248601,282492,346923,377671,398022,415831,447189,479278,523732,558442,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,20167,19670,18686,24583,32444,41788,47152,40099,50488,50902,,
Cash from Investing Activity,-24480,-20678,-24063,-30322,-21034,-22891,-26145,-31456,-45852,-37578,,
Cash from Financing Activity,3138,1028,4927,6004,-11049,-19172,-21217,-8246,-4073,-11328,,
Net Cash Flow,-1176,19,-451,266,360,-274,-210,398,563,1995,,
Free Cash Flow,-4161,912,-2842,6521,9162,17457,22432,9358,9431,6895,,
CFO/OP,106,79,98,89,104,109,108,85,101,98,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,40,37,45,68,92,77,62,68,67,71,,
Cash Conversion Cycle,40,37,45,68,92,77,62,68,67,71,,
Working Capital Days,-52,-44,-106,-35,-61,-62,-43,-45,-37,-54,,
ROCE %,9,9,7,10,9,9,10,10,11,9,,
