Item,Indicator,Value,Signal
,SMA (10),334.13,Sell
,EMA (10),333.66,Sell
,SMA (20),328.84,Buy
,EMA (20),333,Sell
,SMA (50),336.85,Sell
,EMA (50),332.09,Sell
,SMA (100),325.79,Buy
,EMA (100),330.44,Sell
,SMA (200),329.27,Buy
,EMA (200),334.13,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),47.72,Neutral
,"MACD (12,26,9)",0.32,Buy
,"Stochastic (14,3,3)",48.91,Neutral
,ADX (14),15.78,Neutral
,Williams %R (14),-55.39,Neutral
,ATR (14),9.99,High Volatility
,ROC (12),1.69,Buy
,Stoch RSI (14),33.59,Neutral
,"UO (7,14,28)",52.35,Neutral
