Item,Indicator,Value,Signal
,SMA (10),339.53,Buy
,EMA (10),339.42,Buy
,SMA (20),335.63,Buy
,EMA (20),336.67,Buy
,SMA (50),330.91,Buy
,EMA (50),326.57,Buy
,SMA (100),303.71,Buy
,EMA (100),309.41,Buy
,SMA (200),279.54,Buy
,EMA (200),284.56,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),59.78,Neutral
,"MACD (12,26,9)",3.82,Buy
,"Stochastic (14,3,3)",70.3,Neutral
,ADX (14),27.25,Buy
,Williams %R (14),-23.43,Neutral
,ATR (14),7.53,Neutral
,ROC (12),1.32,Buy
,Stoch RSI (14),58.43,Neutral
,"UO (7,14,28)",59.34,Neutral
