Item,Date,Document
,2026-09-05,[Intimation Of Grant Of Options Under OFSS Stock Plan 2014](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a7bbca43-a748-46dd-8d77-513d8499bfc9.pdf)
,2026-09-03,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=24c1484e-f5a3-48e1-9cf3-a3ca6758a947.pdf)
,2026-09-02,[Shareholder Meeting / Postal Ballot-Notice of Postal Ballot](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b2fab479-c986-40e1-9194-4fa56f5e7fb8.pdf)
,2026-08-19,[Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e812f917-11b3-4a1f-8dce-32943379b7de.pdf)
,2026-08-10,[Intimation Of Grant Of Options Under OFSS Stock Plan 2014](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=04daafb0-75fe-4c3e-8ad5-3397f9db7aff.pdf)
,2026-08-05,[AGM Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=76039abc-f4d8-4188-9615-94e2936be50d.pdf)
,2026-07-27,[Shareholder Meeting / Postal Ballot-Scrutinizers Report](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cd76672e-502b-4fac-8036-7e8173857ef1.pdf)
,2026-07-24,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=10a01e76-8376-447a-8775-3196ec1d34e8.pdf)
,2026-07-23,[Rumour verification - Regulation 30(11)](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c2c3082f-6e08-4da1-b8aa-08a8f9f38154.pdf)
,2026-07-23,[Shareholder Meeting / Postal Ballot-Outcome of AGM](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2e6129cb-1ec0-4fea-ab96-3f60d2cf32d6.pdf)
,Date,Document
,---,---
,2026-07-22,[Results For The Quarter Ended June 30 2026.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a79d8f24-a6cf-445f-ac21-41b406e6e453.pdf)
,2026-04-22,[Financial Results For The Quarter And Year Ended March 31 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=dc8d4cd8-c790-47b1-b0b1-2c80fce466b1.pdf)
,2026-01-21,[Financial Results For The Quarter And Nine Months Ended December 31 2025.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=425cd1e1-44fa-4469-9c9f-9d4e9d9d2986.pdf)
,2025-10-17,[Results For The Quarter And Half Year Ended September 30 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=865038e9-6dc7-458a-88c3-bbe2bfeecd01.pdf)
,2025-07-23,[Financial Results For The Quarter Ended June 30 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5de5860a-2a52-40c6-90f2-13275902e543.pdf)
,2025-04-25,[Results For The Quarter And Year Ended March 31 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6ce41265-4ea8-4928-9d8d-246d94edfdb8.pdf)
,2025-01-15,[Results For The Quarter And Nine-Month Period Ended December 31 2024](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fc836573-d4f9-4548-93e5-c6eeeba3824d.pdf)
,2024-10-24,"[Results For The Quarter And Half Year Ended September 30, 2024](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=74b1aa34-1c09-4a1d-9ee8-f504dbbfbed9.pdf)"
,2024-07-24,"[Results For The Quarter Ended June 30, 2024](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=53b31f39-cb58-40b0-876b-7c8cd4b63cb3.pdf)"
,2024-04-24,"[Financial Results For The Quarter And Year Ended March 31, 2024](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=dd589136-c824-41d9-85f4-ea4f03282a40.pdf)"
,Date,Document
,---,---
,"8h - Board declared second interim dividend of Rs 270 per share for FY26; record date May 7, 2026.","[Communication To The Shareholders On Second Interim Dividend 8h - Board declared second interim dividend of Rs 270 per share for FY26; record date May 7, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/845fa43e-72cf-4a78-9bf4-c92fb58e7316.pdf)"
,"6h - Q4/FY26 audited results approved; second interim dividend Rs270/share, record date May 7, 2026.","[Board Meeting Outcome for Outcome Of Board Meeting Held On April 22, 2026 6h - Q4/FY26 audited results approved; second interim dividend Rs270/share, record date May 7, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/ee28bb60-7cf6-48ab-b84f-3d94f939b8ad.pdf)"
,"6h - FY26 revenue Rs. 7,672 crore, net income Rs. 2,639 crore; Q4 dividend Rs. 270 per share.","[Announcement under Regulation 30 (LODR)-Press Release / Media Release 6h - FY26 revenue Rs. 7,672 crore, net income Rs. 2,639 crore; Q4 dividend Rs. 270 per share.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/29a8bfb8-1bc4-4b0b-b572-d354d679a194.pdf)"
