Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1444,1824,1642,1741,1674,1715,1716,1852,1789,1966,2065,3125
Expenses,886,955,908,894,923,1001,952,1006,1034,1146,1009,1249
Operating Profit,558,868,734,847,751,714,765,846,755,820,1056,1876
OPM %,39,48,45,49,45,42,45,46,42,42,51,60
Other Income,65,94,82,48,105,70,82,72,66,60,71,78
Interest,8,9,14,5,8,-3,-9,-4,8,7,-8,1
Depreciation,19,19,18,18,18,17,17,18,16,16,15,15
Profit before tax,596,934,785,873,829,770,839,905,797,857,1120,1939
Tax %,30,21,29,29,30,30,23,29,32,29,25,27
Net Profit,417,741,560,617,578,541,644,642,546,610,842,1416
EPS in Rs,48.2,85.51,64.62,71.12,66.6,62.35,74.13,73.87,62.82,70.06,96.71,162.57
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,4527,4959,4861,4984,5221,5698,6373,6847,7672,8945,,
Expenses,2716,2814,2633,2515,2723,3227,3590,3770,4195,4438,,
Operating Profit,1811,2145,2229,2469,2499,2471,2782,3076,3477,4508,,
OPM %,40,43,46,50,48,43,44,45,45,50,,
Other Income,91,176,177,132,134,192,342,304,271,276,,
Interest,0,0,47,19,12,13,28,0,2,8,,
Depreciation,61,54,106,104,93,81,74,69,65,62,,
Profit before tax,1840,2267,2252,2477,2528,2570,3022,3311,3680,4713,,
Tax %,33,39,35,29,25,30,27,28,28,—,,
Net Profit,1237,1386,1462,1762,1889,1806,2219,2380,2639,3413,,
EPS in Rs,144.82,161.57,170.26,204.72,219,209.05,256.07,273.95,303.25,392.16,,
Dividend Payout %,90,0,106,98,87,108,94,97,132,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,42,43,43,43,43,43,43,43,43,44,,
Reserves,3222,4665,4894,6527,6806,7057,7416,7816,8319,7783,,
Borrowings,0,0,0,115,70,83,69,43,46,32,,
Other Liabilities,2756,1225,1192,1236,1234,1409,1590,1848,1659,2017,,
Total Liabilities,6020,5933,6128,7920,8153,8592,9119,9749,10067,9876,,
Fixed Assets,870,837,864,963,884,871,847,805,796,782,,
CWIP,1,3,0,0,0,4,1,3,9,16,,
Investments,0,0,0,0,0,0,0,0,0,0,,
Other Assets,5150,5093,5264,6957,7268,7717,8271,8942,9262,9078,,
Total Assets,6020,5933,6128,7920,8153,8592,9119,9749,10067,9876,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,1121,1157,1380,1522,1920,1856,1758,1791,2199,2638,,
Cash from Investing Activity,1823,-1313,220,-1299,34,-138,267,1611,-2372,1085,,
Cash from Financing Activity,-931,-1630,-1250,-47,-1590,-1733,-1665,-1958,-2096,-3449,,
Net Cash Flow,2013,-1785,350,175,363,-15,360,1443,-2269,274,,
Free Cash Flow,1064,1127,1303,1472,1903,1820,1720,1761,2164,2587,,
CFO/OP,106,98,109,103,107,102,99,93,109,105,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,59,81,70,69,59,65,69,76,63,64,,
Cash Conversion Cycle,59,81,70,69,59,65,69,76,63,64,,
Working Capital Days,-112,41,32,40,36,37,39,48,45,37,,
ROCE %,46,46,47,40,37,36,35,40,41,45,,
