Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,147614,167357,172137,168968,159331,167213,167749,163106,157911,167423,173801,204987
Expenses,119534,146996,148913,147183,138757,142858,145983,137336,131390,142088,148449,189502
Operating Profit,28080,20360,23224,21785,20574,24354,21766,25770,26521,25335,25352,15485
OPM %,19,12,13,13,13,15,13,16,17,15,15,8
Other Income,3673,4299,3375,3535,4162,2415,3548,2464,3447,3450,5702,3858
Interest,3243,3203,3608,3694,3827,3750,3264,3341,3411,3207,3070,2854
Depreciation,7079,7494,8420,8501,8254,9539,8912,9384,9273,9388,9345,9477
Profit before tax,21431,13962,14570,13125,12655,13480,13137,15509,17284,16190,18640,7012
Tax %,25,25,24,26,22,28,32,26,27,26,27,7
Net Profit,16171,10511,11096,9776,9841,9747,8965,11554,12615,11946,13678,6554
EPS in Rs,10.89,8.51,7.97,7.93,8.14,6.82,5.91,7.79,8.57,7.96,8.6,9.46
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,322706,421624,396728,303849,491246,632291,601581,612064,608663,704123,,
Expenses,265817,346805,344623,254375,411373,556764,499198,523207,505543,611429,,
Operating Profit,56889,74819,52105,49473,79874,75527,102383,88857,103120,92694,,
OPM %,18,18,13,16,16,12,17,15,17,13,,
Other Income,10429,9567,982,11271,6797,-30,14712,13282,14923,16458,,
Interest,4999,5837,7489,5079,5696,7889,13026,14535,13029,12541,,
Depreciation,23112,23704,26635,25538,26883,24557,30440,35206,37391,37484,,
Profit before tax,39208,54846,18962,30126,54091,43051,73629,52398,67623,59127,,
Tax %,34,38,40,29,9,24,25,27,26,—,,
Net Profit,26068,33938,11456,21360,49294,32778,55273,38329,49793,44793,,
EPS in Rs,17.23,24.28,8.59,12.96,36.19,28.17,39.06,28.8,32.93,34.59,,
Dividend Payout %,38,29,58,28,29,40,31,43,22,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,6417,6417,6290,6290,6290,6290,6290,6290,6290,6290,,
Reserves,187969,197602,210644,198814,214691,253213,274357,332779,337150,365478,,
Borrowings,80029,106550,107742,129473,133187,121986,142255,191195,187817,174316,,
Other Liabilities,170111,148664,167667,173787,187580,201771,190212,206357,221401,239518,,
Total Liabilities,444525,459232,492343,508364,541748,583260,613115,736621,752658,785602,,
Fixed Assets,211125,226058,230391,243892,243746,254402,250819,317183,340175,346073,,
CWIP,59042,61512,69056,83832,100309,106719,113945,118729,112614,116272,,
Investments,70746,67335,66909,56755,60320,66642,78873,100862,95617,101084,,
Other Assets,103612,104328,125987,123884,137372,155496,169478,199847,204252,222173,,
Total Assets,444525,459232,492343,508364,541748,583260,613115,736621,752658,785602,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,45780,56792,61458,70593,47185,78248,84211,98847,90856,112719,,
Cash from Investing Activity,-43815,-66798,-37132,-53159,-39141,-41197,-72799,-57423,-42879,-57419,,
Cash from Financing Activity,-1867,9909,-23324,-16726,-8239,-35790,-12916,-45009,-47908,-56331,,
Net Cash Flow,99,-97,1001,708,-195,1261,-1504,-3586,68,-1031,,
Free Cash Flow,25445,29061,35697,28735,15147,45158,47758,60965,50143,72219,,
CFO/OP,105,119,103,155,111,115,132,111,118,128,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,16,16,13,8,19,14,11,12,13,13,,
Inventory Days,65,56,48,46,85,90,61,87,99,119,,
Days Payable,51,48,41,31,51,66,46,61,64,84,,
Cash Conversion Cycle,30,24,21,23,54,39,27,38,47,48,,
Working Capital Days,-85,-61,-44,-54,-50,-24,-30,-46,-37,-37,,
ROCE %,17,14,19,10,9,16,14,18,12,14,,
