Item,Indicator,Value,Signal
,SMA (10),234.99,Sell
,EMA (10),234.86,Sell
,SMA (20),235.39,Sell
,EMA (20),235.82,Sell
,SMA (50),240.36,Sell
,EMA (50),240.92,Sell
,SMA (100),255.23,Sell
,EMA (100),248.35,Sell
,SMA (200),257.14,Sell
,EMA (200),252.1,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),41.46,Neutral
,"MACD (12,26,9)",-1.63,Buy
,"Stochastic (14,3,3)",41.28,Neutral
,ADX (14),15.24,Neutral
,Williams %R (14),-86.18,Buy
,ATR (14),4.47,Neutral
,ROC (12),0.12,Buy
,Stoch RSI (14),52.2,Neutral
,"UO (7,14,28)",30.8,Neutral
