Item,Date,Document
,2026-09-02,[Disclosure Under Regulation 30 Of The SEBI (LODR) Regulations 2015 - Pendency Of Litigation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=29615dbd-a303-41d8-b8cc-6a77824ef6eb.pdf)
,2026-08-27,[Announcement under Regulation 30 (LODR)-Resignation of Company Secretary / Compliance Officer](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4dad6068-f4e7-406c-ad02-7429dcea89f1.pdf)
,2026-08-14,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7d0f3442-0c73-42fa-a6f1-0f7fdd3220e0.pdf)
,2026-08-14,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=daf963d4-fc64-4d0b-ad03-06c4f8e2e886.pdf)
,2026-08-13,[Announcement under Regulation 30 (LODR)-Press Release / Media Release](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=76018bba-f56f-4bac-aca8-3e227089d656.pdf)
,2026-08-13,[Corporate Action-Board approves Dividend](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ab42027e-938a-4664-a57a-7e8e6ecc7b65.pdf)
,2026-08-13,[Shareholder Meeting / Postal Ballot-Scrutinizers Report](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c011e881-e930-49fe-b99b-e3aea897320f.pdf)
,2026-08-13,[Shareholder Meeting / Postal Ballot-Outcome of AGM](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c6f10d4d-43dd-4cde-98bd-35e42e13b51d.pdf)
,2026-08-13,[Declaration Under Regulation 34(1)(B)](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=95a8c127-964e-4c3d-ac9b-663ba1342eff.pdf)
,2026-08-13,[Video Recording Of 31St AGM](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=279ad7cc-6178-45ae-bffa-3c0076046f68.pdf)
,Date,Document
,---,---
,2026-08-19,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a1bcd17b-4c38-415c-b0fe-06ac3101e5bb.pdf)
,2026-08-13,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=22da6147-2d95-4d32-94ab-3314277d3859.pdf)
,2026-05-21,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cc415da2-b338-4bb4-b0de-4d723f7131d5.pdf)
,2026-02-05,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=911e5504-ea58-457e-af15-266a248cb819.pdf)
,2025-11-13,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=586ca0fa-14ff-4467-840c-5f8b48deb215.pdf)
,2025-08-07,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ec240f9d-f040-45a8-a10a-7f5a5e863efd.pdf)
